bin,mean_predicted,observed_frequency,count,gap
1,2.9095442510477285e-05,0.005829487490891426,8234,0.005800392048380949
2,0.011120880399581748,0.012024778331106522,8233,0.0009038979315247747
3,0.22916297082477877,0.25847200291509775,8233,0.029309032090318987
4,0.6185811466076723,0.5097777237944856,8233,-0.10880342281318667
5,0.7591124503770735,0.5185230171261994,8233,-0.24058943325087412
6,0.8444166988164279,0.5292688851105174,8234,-0.3151478137059105
7,0.9183026818882266,0.7016031090599951,8234,-0.2166995728282315
8,0.9829819863232676,0.9754616132167152,8232,-0.007520373106552403
9,0.9989922889398964,0.9980570734669095,8235,-0.0009352154729869167
10,0.9999766170041842,0.9970841939011056,8231,-0.0028924231030785785
