bin,mean_predicted,observed_frequency,count,gap
1,4.41250731135024e-09,0.023682292931746417,8234,0.023682288519239106
2,0.00034971773225839453,0.01336086481234058,8233,0.013011147080082186
3,0.08506554509002708,0.12644236608769585,8233,0.041376820997668776
4,0.47421134844945334,0.21681039718207215,8233,-0.25740095126738116
5,0.7474118090868304,0.4093283128871614,8233,-0.33808349619966893
6,0.9240880463100256,0.7652268866779908,8242,-0.15886115963203484
7,0.9754776852133281,0.9660913952357802,8228,-0.009386289977547868
8,0.9889338783904225,0.990885891359825,8229,0.0019520129694025057
9,0.9960268886536943,0.9963561277784526,8233,0.0003292391247583515
10,0.9993096701502948,0.9980568375030362,8234,-0.001252832647258617
