bin,mean_predicted,observed_frequency,count,gap
1,2.7252137e-05,0.0,8234,-2.7252137442701496e-05
2,0.0002233803,0.0,8382,-0.00022338029521051794
3,0.089829184,0.05356259277585354,8084,-0.036266591339079474
4,0.51795113,0.19142475403862505,8233,-0.32652637682837937
5,0.85861045,0.3911089517794243,8233,-0.4675014994420418
6,0.98549396,0.8766525166767738,8245,-0.10884144131959461
7,0.99793404,0.9952572053994893,8223,-0.0026768380079509324
8,0.99921834,0.9993926879630755,8233,0.00017434327465992716
9,0.99962294,0.9998787731846285,8249,0.00025583216747759874
10,0.99982613,0.9998782862706913,8216,5.2153019501122166e-05
