model,feature,permutation_rank,drift_rank_by_psi,drift_rank_by_ks,psi,ks_statistic,psi_degenerate,psi_low_resolution
logistic_regression,ct_dst_sport_ltm,1,1,11,0.8331939184639023,0.28112387019955787,False,False
logistic_regression,dpkts,3,3,4,0.5232782833548689,0.30701381241180514,False,False
logistic_regression,dbytes,7,5,1,0.503139065403498,0.3199569994654564,False,False
neural_network,sload,2,12,9,0.36150898594598446,0.2866983716622553,False,False
neural_network,ct_dst_sport_ltm,3,1,11,0.8331939184639023,0.28112387019955787,False,False
neural_network,dmean,4,2,2,0.5394146340988961,0.31884116011610375,False,False
neural_network,rate,5,8,8,0.4028699484955196,0.288376597638461,False,False
neural_network,dbytes,8,5,1,0.503139065403498,0.3199569994654564,False,False
neural_network,djit,9,20,10,0.25593844652934017,0.2855610118036582,False,False
neural_network,dload,10,6,3,0.449673027176679,0.3151234737007741,False,False
random_forest,sbytes,2,9,12,0.3991530746336846,0.2701346445717366,False,False
random_forest,state,3,4,6,0.5101839214753137,0.3063612429194289,False,False
random_forest,ct_dst_sport_ltm,4,1,11,0.8331939184639023,0.28112387019955787,False,False
random_forest,dbytes,5,5,1,0.503139065403498,0.3199569994654564,False,False
xgboost,dload,2,6,3,0.449673027176679,0.3151234737007741,False,False
xgboost,ct_dst_sport_ltm,3,1,11,0.8331939184639023,0.28112387019955787,False,False
xgboost,dbytes,7,5,1,0.503139065403498,0.3199569994654564,False,False
xgboost,sbytes,8,9,12,0.3991530746336846,0.2701346445717366,False,False
