feature,psi,ks_statistic,n_bins_effective,binning_strategy,psi_degenerate,psi_low_resolution
ct_dst_sport_ltm,0.8331939184639023,0.28112387019955787,34,value,False,False
dmean,0.5394146340988961,0.31884116011610375,9,quantile,False,False
dpkts,0.5232782833548689,0.30701381241180514,8,quantile,False,False
state,0.5101839214753137,0.3063612429194289,10,value,False,False
dbytes,0.503139065403498,0.3199569994654564,9,quantile,False,False
dload,0.449673027176679,0.3151234737007741,9,quantile,False,False
dinpkt,0.4361749641028141,0.30699763178980577,9,quantile,False,False
rate,0.4028699484955196,0.288376597638461,10,quantile,False,False
sbytes,0.3991530746336846,0.2701346445717366,10,quantile,False,False
dur,0.38540531384645466,0.29740952380116226,10,quantile,False,False
ct_src_dport_ltm,0.36543803377034473,0.2506529822579018,3,quantile,False,True
sload,0.36150898594598446,0.2866983716622553,10,quantile,False,False
spkts,0.34725527791376043,0.2628522434374862,8,quantile,False,False
sinpkt,0.32761047441620994,0.25630511763008107,10,quantile,False,False
dloss,0.3204592565482715,0.25577308512150965,7,quantile,False,False
proto,0.2913168637297233,0.1827137233510887,3,quantile,False,True
dwin,0.2869338620074196,0.2543955001473015,18,value,False,False
sloss,0.27130295110560554,0.24166850864044603,6,quantile,False,False
swin,0.2580532888696283,0.23954687722439733,20,value,False,False
djit,0.25593844652934017,0.2855610118036582,8,quantile,False,False
ct_srv_src,0.25235573373705844,0.1957320811344233,7,quantile,False,False
smean,0.2464867246573053,0.17120495243881795,10,quantile,False,False
ct_srv_dst,0.24203559706418296,0.19385510764307584,6,quantile,False,False
synack,0.2415560777614269,0.2566198639946129,8,quantile,False,False
service,0.23713587266222833,0.148073342373508,13,value,False,False
dtcpb,0.23255210081115574,0.25415379163652974,8,quantile,False,False
stcpb,0.23002181237200575,0.254058641409221,8,quantile,False,False
tcprtt,0.22810207131994367,0.2567850656226004,8,quantile,False,False
ackdat,0.21082506154404876,0.2570287914715301,8,quantile,False,False
sjit,0.19975490469145535,0.2591620242205506,8,quantile,False,False
ct_dst_src_ltm,0.12708598779928446,0.14359392705581409,5,quantile,False,False
ct_src_ltm,0.12534557101405802,0.13909654820683237,6,quantile,False,False
ct_dst_ltm,0.11966289449729256,0.1319288625077455,5,quantile,False,False
ct_flw_http_mthd,0.06552733868694016,0.07871869752320049,11,value,False,False
trans_depth,0.05602129511220855,0.07869440563183383,13,value,False,False
response_body_len,0.018171557591892422,0.04059068716043246,2,quantile,False,True
ct_ftp_cmd,0.008888330541112837,0.010313888641427793,4,value,False,True
is_ftp_login,0.00851666861745657,0.01033818053279445,2,value,False,True
is_sm_ips_ports,0.007545996104628928,0.007197719878358821,2,value,False,True
