feature,importance_mean,importance_std,rank
ct_dst_sport_ltm,0.12557583950759646,0.0010349550794929799,1
state_con,0.09338493620845563,0.00047027087007791397,2
dpkts,0.06315822629944305,0.0004943601547684296,3
proto_unas,0.061179928061486935,0.000980225961890783,4
swin,0.05042506987958197,0.00048770574201621877,5
proto_infrequent_sklearn,0.04234114495044883,0.0006725338607062861,6
dbytes,0.04156190852484769,0.0008260080109662882,7
sloss,0.04093213264295699,0.0013046749666283958,8
spkts,0.03687917232408196,0.000445735074834009,9
proto_udp,0.03661323714971816,0.0003283159832550842,10
dload,0.028016962100769916,0.00032518692019168786,11
dwin,0.027953605430270877,0.00030469371894080015,12
dloss,0.02483464238949453,0.00058568092513476,13
ct_src_dport_ltm,0.02107522850702135,0.0004109329064869619,14
ct_srv_dst,0.020765848924745377,0.00034837416734912656,15
service_dns,0.0189234308792944,0.00022917901571235745,16
proto_sctp,0.016909341708018433,0.0009212080543120107,17
ct_dst_src_ltm,0.015358740238944102,0.00035541598513556176,18
state_int,0.013013370264551582,0.00035689316456816574,19
sbytes,0.009732727901946658,0.0002749420483747244,20
state_req,0.008166063604558826,0.00016772268661599516,21
proto_tcp,0.006999220002288564,0.00018504014116161842,22
proto_arp,0.00687297400182556,0.00022025787661489918,23
dmean,0.006837890078998132,0.00022195734851364546,24
service_-,0.004538700037375665,9.565113887955381e-05,25
djit,0.004492704912410916,7.987298433974959e-05,26
synack,0.004427091265643357,6.020400375432832e-05,27
service_smtp,0.002942878966466567,7.208213490867424e-05,28
service_pop3,0.002113421611853483,0.0001789700340322746,29
ct_ftp_cmd,0.0011425469194750182,0.0001173904710179931,30
proto_any,0.0011029338361008944,8.41101279167777e-05,31
ct_srv_src,0.001058053887924193,0.0001890181027178792,32
dinpkt,0.0010207702599397185,0.00015224382155081814,33
smean,0.0010092357776490869,0.00010967205102676375,34
ct_flw_http_mthd,0.0009861205756592107,3.465955060609516e-05,35
proto_ospf,0.0008099217942952874,7.347709532834605e-05,36
ct_dst_ltm,0.000650674907041715,0.00011153709280448793,37
trans_depth,0.0005313150816270706,7.79272739429247e-05,38
dur,0.0005205706554165079,9.21147444729171e-05,39
service_ssl,0.000382881847817762,3.0202832458110216e-05,40
state_fin,0.0003649508932734635,0.0001638397503459972,41
rate,0.00032960609397507666,7.248378610885552e-05,42
service_dhcp,0.00028766391963173097,8.671551615705019e-05,43
ct_src_ltm,0.00018233132869311942,6.96337320154891e-05,44
service_ssh,0.00013563759216084215,6.456236051480544e-05,45
proto_igmp,0.00011880829766510725,2.0369766845109074e-05,46
stcpb,4.941001595035743e-05,4.107420802566038e-06,47
sinpkt,3.8659181982225733e-05,3.981055296200809e-05,48
service_irc,3.419145625902509e-05,9.689353027380978e-06,49
service_infrequent_sklearn,1.4883820353794874e-05,1.485278284101303e-05,50
response_body_len,1.1604999325665055e-05,2.5235908286978793e-05,51
service_snmp,7.594143458233838e-06,5.267267928761429e-06,52
state_rst,1.3823674175350575e-06,8.72954262593718e-07,53
proto_icmp,0.0,0.0,54
state_eco,0.0,0.0,55
state_infrequent_sklearn,0.0,0.0,56
is_sm_ips_ports,-3.634348635261908e-06,9.793787362760358e-06,57
dtcpb,-2.1098294152932518e-05,2.0437808896399243e-06,58
sjit,-3.967061286505036e-05,6.301880140587299e-05,59
service_ftp,-8.125646261576413e-05,3.699405985552673e-05,60
service_http,-0.00012600023815207974,5.587934569993887e-06,61
sload,-0.00020659573479606675,7.197504706240816e-05,62
is_ftp_login,-0.0002814035477755494,4.839100692558969e-05,63
service_ftp-data,-0.0005020085648483885,1.2637561172792638e-05,64
ackdat,-0.003231891507591489,0.0001328044367615866,65
tcprtt,-0.003587045641935327,6.654481905772375e-05,66
