feature,importance_mean,importance_std,rank
swin,0.2063335502868487,0.000502022953473922,1
sload,0.1436751216823437,0.0006675027021906881,2
ct_dst_sport_ltm,0.13414106944604978,0.0016633407831112528,3
dmean,0.07780912901523378,0.001240241499303968,4
rate,0.07523894977687165,0.0006627951002105949,5
dwin,0.06774315319960418,0.00019502464447767947,6
ct_dst_src_ltm,0.058059652360700896,0.0013536194437712003,7
dbytes,0.05070465383484977,0.0014991169117971775,8
djit,0.032143218576923906,0.0003148828111098315,9
dload,0.03187333334635998,0.00017526499822932356,10
spkts,0.03151834068259725,0.00039287934419852445,11
ct_src_dport_ltm,0.02994638183767031,0.0004577826575818051,12
response_body_len,0.029527861728351267,0.0005624676245632317,13
service_dns,0.026986544434143566,0.00033406051417567606,14
sinpkt,0.020311533869259858,0.0006434316436380149,15
sloss,0.019682932190052526,0.0011554844035382725,16
sbytes,0.018579360383997677,0.00022377581680478717,17
dur,0.009929709356029081,0.0005627415961748405,18
ct_srv_dst,0.009923377125439914,0.0002571906737261094,19
proto_infrequent_sklearn,0.009572193492803782,0.0004887901700943867,20
ct_dst_ltm,0.00825723814674557,0.0002851790195032137,21
service_smtp,0.008150436903567315,0.0003496981046282825,22
dloss,0.0066201619420636956,0.00015100655742803835,23
tcprtt,0.00555628437405471,0.00022343884896462577,24
ct_flw_http_mthd,0.005479373771865581,0.0004285462577001217,25
ct_srv_src,0.005265410589672448,0.0003155959814997895,26
dpkts,0.004753303493432104,0.00013456443342467036,27
dinpkt,0.004455731593227786,0.0001945612474174763,28
synack,0.004182751406132068,0.00018201940147971455,29
ackdat,0.004088450168434376,0.00019009089429881075,30
proto_unas,0.004032753850116366,0.00016539500835770937,31
smean,0.003962050715936627,0.0001427067199314514,32
sjit,0.003501654240415775,0.00014540612390062592,33
service_ftp-data,0.0031176797006904787,0.00019684377309629066,34
ct_src_ltm,0.002879659984143146,0.0001673008087124142,35
state_con,0.002863761485129479,6.590220414590082e-05,36
trans_depth,0.002804661214094062,0.0002619697727208144,37
state_int,0.0026008884945210252,7.680787566424324e-05,38
proto_udp,0.0024481321861136605,8.05061921751156e-05,39
service_http,0.002418362821721254,0.0001446132506801215,40
service_pop3,0.000626709241892387,0.0001731893137155169,41
proto_arp,0.00037497087616238377,3.0289119110612047e-05,42
proto_sctp,0.0003141244047385028,3.4336546590792706e-05,43
is_sm_ips_ports,0.00026300729843804494,4.767335858570198e-05,44
service_-,0.00013382993107171614,5.393404358575952e-05,45
proto_ospf,8.693472410765679e-05,1.837129975169633e-05,46
state_req,7.279751455298022e-05,5.943104812767867e-06,47
ct_ftp_cmd,6.797139651126827e-05,1.2224459113346096e-05,48
proto_igmp,4.3885611784988396e-05,5.700528656617719e-06,49
is_ftp_login,4.387990318293067e-05,7.028671387949379e-06,50
service_ssl,3.264005789387348e-05,2.2348382097565604e-05,51
proto_any,2.170172553304095e-05,5.376274697577958e-07,52
service_ssh,1.8354062402581306e-05,1.0176036562985314e-05,53
service_dhcp,1.0522367450827019e-05,6.637305896145981e-06,54
service_snmp,9.457136289592328e-06,5.093372763449175e-06,55
service_irc,5.959209914530028e-06,2.967579394360746e-06,56
state_rst,5.3488041433569226e-06,6.046500260640766e-07,57
proto_icmp,0.0,0.0,58
state_eco,0.0,0.0,59
service_infrequent_sklearn,-1.5991962539319005e-06,2.081289473980116e-06,60
state_infrequent_sklearn,-4.894716626879792e-06,1.0001936671145339e-06,61
service_ftp,-9.651259256764355e-05,1.3757087554136076e-05,62
dtcpb,-0.00011476723561043567,1.6799480060835925e-05,63
stcpb,-0.0002844838444363118,3.110877017232331e-05,64
proto_tcp,-0.000739844384300059,4.794967962880214e-05,65
state_fin,-0.0007634621254209329,6.203606225847049e-05,66
