feature,importance_mean,importance_std,rank
ackdat,0.037780097680544064,0.0001837007983449229,1
sbytes,0.02709756419818212,0.000343298187335349,2
state,0.025941846397205915,0.00019895941028038239,3
ct_dst_sport_ltm,0.01988508476955857,0.00012366722566924433,4
dbytes,0.0173869064542711,0.00023401551059736304,5
tcprtt,0.01607526231735663,0.00020260169459501834,6
swin,0.014378259675440219,0.00021662281242760105,7
service,0.014273860803309679,0.00011418600897807529,8
sloss,0.013383618471942494,0.00017568950836808564,9
smean,0.013241431719703534,0.00021121273780873076,10
dinpkt,0.012966915101077147,0.00016420731341465925,11
rate,0.012853516073093573,0.00023247940692318916,12
dload,0.01174363684840185,0.0001012425639190366,13
synack,0.011163150926653454,0.00014440135885256987,14
ct_dst_src_ltm,0.008230580253261866,0.00017045991948792786,15
spkts,0.007243535529023038,0.0001149240047854327,16
dmean,0.004348255498137554,0.00012037514399838267,17
ct_srv_dst,0.004001211707709817,0.0002469711734626283,18
dtcpb,0.00397214555782377,4.600323563648988e-05,19
dpkts,0.00393194960960388,9.909147882652971e-05,20
ct_srv_src,0.003742631117000461,0.00019840972951581956,21
sinpkt,0.003074977727686412,0.0001028226002520707,22
ct_src_dport_ltm,0.00261942979530414,7.959108787455604e-05,23
sjit,0.002134110443123771,7.437158680371537e-05,24
dur,0.0020561401678751865,0.00013684912959311605,25
stcpb,0.0016877268396520372,4.97187161708882e-05,26
sload,0.0016120217762199296,0.00020534403958700145,27
dloss,0.0011874327182355593,3.4114709444917376e-05,28
djit,0.001033634907353398,2.3353066104873557e-05,29
proto,0.0008656819539785366,5.186696975647268e-05,30
ct_src_ltm,0.0004979679159093919,6.748326627631166e-05,31
is_sm_ips_ports,8.648857308732883e-05,7.673270743656418e-06,32
response_body_len,6.228469921141234e-05,1.7037029591250382e-05,33
ct_ftp_cmd,1.6186394784201143e-05,4.487968738109778e-06,34
is_ftp_login,1.3165757707556126e-05,4.658961481990029e-06,35
dwin,-0.00012617378994470574,9.91754562947713e-06,36
trans_depth,-0.00014579669521417316,1.678587431797593e-05,37
ct_flw_http_mthd,-0.00022293514533120451,2.9520308958346132e-05,38
ct_dst_ltm,-0.00040003452301706766,5.0044111272630715e-05,39
