feature,importance_mean,importance_std,rank
ackdat,0.02193944378515471,6.243614984553372e-05,1
dload,0.01391672246877429,0.0001683539307931069,2
ct_dst_sport_ltm,0.00620030140214638,0.00011852831527444437,3
ct_dst_src_ltm,0.0055316504259908415,4.450232404703351e-05,4
smean,0.004831013175176824,5.029888241694843e-05,5
ct_srv_src,0.004707611155123459,0.00014505330700154397,6
dbytes,0.004040166149337688,9.842140193006169e-05,7
sbytes,0.003974617649671086,4.7886805532627975e-05,8
service,0.002858274942233807,0.00012927529930432924,9
ct_srv_dst,0.00242911039340834,7.497370963465022e-05,10
dmean,0.0021859982190417957,6.307048701106484e-05,11
synack,0.0018386017005662448,6.312344299521648e-05,12
tcprtt,0.0017230480799713898,2.6481102331309705e-05,13
sinpkt,0.0015785494792253773,5.9289297918678084e-05,14
swin,0.0011193355767211033,2.6586970171479746e-05,15
proto,0.0008340448731176009,3.352182983582597e-05,16
response_body_len,0.0007843333677401753,9.398340440460357e-06,17
rate,0.0007176791824302642,2.1880052981724602e-05,18
sloss,0.000591475956065346,2.06374161967063e-05,19
state,0.0005026336012156519,1.2111128917296116e-05,20
dur,0.00043939769911913726,2.7754616426175148e-05,21
ct_src_dport_ltm,0.00038265768288998637,2.8374399311006335e-05,22
sload,0.0003498441809616226,1.6761934697485414e-05,23
dtcpb,0.00033844910682132576,2.270553871656121e-05,24
dloss,0.00030259248359736367,9.713729270919518e-06,25
stcpb,0.0002910015559101087,2.5587886492479217e-05,26
spkts,0.00025293376982846725,3.1887722425474966e-05,27
dinpkt,0.00024163482259047518,2.498065172775553e-05,28
djit,0.0001805663834668847,3.738990284303192e-05,29
ct_dst_ltm,0.00015505943229463526,6.29530322129041e-05,30
dpkts,0.00010125072064064433,3.165381477431098e-05,31
ct_ftp_cmd,3.344474662636543e-06,1.3199648504932601e-06,32
is_ftp_login,2.757946531573019e-06,8.438880608428206e-07,33
dwin,6.872301169025264e-07,7.413804999963629e-07,34
is_sm_ips_ports,4.596057199046655e-07,1.7301252357717335e-06,35
trans_depth,-0.00010717395505168703,9.517579301038855e-06,36
sjit,-0.00012907185585280255,2.2840767156090896e-05,37
ct_src_ltm,-0.00015019095866255494,6.138932308669828e-05,38
ct_flw_http_mthd,-0.00015370109517907072,5.048306223858946e-06,39
