model,rank,feature,mean_abs_shap_value,scale
random_forest,1,ackdat,0.0552443373969031,probability
random_forest,2,sbytes,0.0380113794602146,probability
random_forest,3,tcprtt,0.0316486790679301,probability
random_forest,4,dbytes,0.0297515943979822,probability
random_forest,5,dload,0.0294195828431397,probability
random_forest,6,rate,0.0291370018328087,probability
random_forest,7,sloss,0.0251624463928125,probability
random_forest,8,smean,0.0242334570616491,probability
random_forest,9,state,0.0232619623814621,probability
random_forest,10,ct_dst_sport_ltm,0.0225469657059743,probability
xgboost,1,ackdat,1.011142015457153,raw
xgboost,2,dload,0.9709157943725586,raw
xgboost,3,ct_dst_sport_ltm,0.6707608103752136,raw
xgboost,4,sbytes,0.5233059525489807,raw
xgboost,5,ct_srv_dst,0.3749224841594696,raw
xgboost,6,smean,0.3747003078460693,raw
xgboost,7,service,0.3315896391868591,raw
xgboost,8,ct_dst_src_ltm,0.3106756806373596,raw
xgboost,9,synack,0.29570472240448,raw
xgboost,10,dbytes,0.2734916806221008,raw
