model,rank,feature,importance_mean,importance_std
logistic_regression,1,ct_dst_sport_ltm,0.1255758395075964,0.0010349550794929
logistic_regression,2,state_con,0.0933849362084556,0.0004702708700779
logistic_regression,3,dpkts,0.063158226299443,0.0004943601547684
logistic_regression,4,proto_unas,0.0611799280614869,0.0009802259618907
logistic_regression,5,swin,0.0504250698795819,0.0004877057420162
logistic_regression,6,proto_infrequent_sklearn,0.0423411449504488,0.0006725338607062
logistic_regression,7,dbytes,0.0415619085248476,0.0008260080109662
logistic_regression,8,sloss,0.0409321326429569,0.0013046749666283
logistic_regression,9,spkts,0.0368791723240819,0.000445735074834
logistic_regression,10,proto_udp,0.0366132371497181,0.000328315983255
neural_network,1,swin,0.2063335502868487,0.0005020229534739
neural_network,2,sload,0.1436751216823437,0.0006675027021906
neural_network,3,ct_dst_sport_ltm,0.1341410694460497,0.0016633407831112
neural_network,4,dmean,0.0778091290152337,0.0012402414993039
neural_network,5,rate,0.0752389497768716,0.0006627951002105
neural_network,6,dwin,0.0677431531996041,0.0001950246444776
neural_network,7,ct_dst_src_ltm,0.0580596523607008,0.0013536194437712
neural_network,8,dbytes,0.0507046538348497,0.0014991169117971
neural_network,9,djit,0.0321432185769239,0.0003148828111098
neural_network,10,dload,0.0318733333463599,0.0001752649982293
random_forest,1,ackdat,0.037780097680544,0.0001837007983449
random_forest,2,sbytes,0.0270975641981821,0.0003432981873353
random_forest,3,state,0.0259418463972059,0.0001989594102803
random_forest,4,ct_dst_sport_ltm,0.0198850847695585,0.0001236672256692
random_forest,5,dbytes,0.0173869064542711,0.0002340155105973
random_forest,6,tcprtt,0.0160752623173566,0.000202601694595
random_forest,7,swin,0.0143782596754402,0.0002166228124276
random_forest,8,service,0.0142738608033096,0.000114186008978
random_forest,9,sloss,0.0133836184719424,0.000175689508368
random_forest,10,smean,0.0132414317197035,0.0002112127378087
xgboost,1,ackdat,0.0219394437851547,6.243614984553372e-05
xgboost,2,dload,0.0139167224687742,0.0001683539307931
xgboost,3,ct_dst_sport_ltm,0.0062003014021463,0.0001185283152744
xgboost,4,ct_dst_src_ltm,0.0055316504259908,4.450232404703351e-05
xgboost,5,smean,0.0048310131751768,5.029888241694843e-05
xgboost,6,ct_srv_src,0.0047076111551234,0.0001450533070015
xgboost,7,dbytes,0.0040401661493376,9.842140193006167e-05
xgboost,8,sbytes,0.003974617649671,4.7886805532627975e-05
xgboost,9,service,0.0028582749422338,0.0001292752993043
xgboost,10,ct_srv_dst,0.0024291103934083,7.497370963465022e-05
