section,rank,feature,psi,ks_statistic,binning_strategy,psi_low_resolution
top_psi,1,ct_dst_sport_ltm,0.8331939184639023,0.2811238701995578,value,False
top_psi,2,dmean,0.5394146340988961,0.3188411601161037,quantile,False
top_psi,3,dpkts,0.5232782833548689,0.3070138124118051,quantile,False
top_psi,4,state,0.5101839214753137,0.3063612429194289,value,False
top_psi,5,dbytes,0.503139065403498,0.3199569994654564,quantile,False
top_psi,6,dload,0.449673027176679,0.3151234737007741,quantile,False
top_psi,7,dinpkt,0.4361749641028141,0.3069976317898057,quantile,False
top_psi,8,rate,0.4028699484955196,0.288376597638461,quantile,False
top_psi,9,sbytes,0.3991530746336846,0.2701346445717366,quantile,False
top_psi,10,dur,0.3854053138464546,0.2974095238011622,quantile,False
top_ks,1,dbytes,0.503139065403498,0.3199569994654564,quantile,False
top_ks,2,dmean,0.5394146340988961,0.3188411601161037,quantile,False
top_ks,3,dload,0.449673027176679,0.3151234737007741,quantile,False
top_ks,4,dpkts,0.5232782833548689,0.3070138124118051,quantile,False
top_ks,5,dinpkt,0.4361749641028141,0.3069976317898057,quantile,False
top_ks,6,state,0.5101839214753137,0.3063612429194289,value,False
top_ks,7,dur,0.3854053138464546,0.2974095238011622,quantile,False
top_ks,8,rate,0.4028699484955196,0.288376597638461,quantile,False
top_ks,9,sload,0.3615089859459844,0.2866983716622553,quantile,False
top_ks,10,djit,0.2559384465293401,0.2855610118036582,quantile,False
