feature,no_ttl_rank,no_ttl_importance_mean,with_ttl_rank,with_ttl_importance_mean
ackdat,1.0,0.0219394437851547,33,7.392693794439076e-06
dload,2.0,0.0139167224687742,13,0.0009790180621988
ct_dst_sport_ltm,3.0,0.0062003014021463,2,0.0076042119008558
ct_dst_src_ltm,4.0,0.0055316504259908,3,0.0057199887072398
smean,5.0,0.0048310131751768,4,0.0054590493928639
ct_srv_src,6.0,0.0047076111551234,5,0.0041052126178001
dbytes,7.0,0.0040401661493376,7,0.003034147024224
sbytes,8.0,0.003974617649671,6,0.0032937493291765
service,9.0,0.0028582749422338,10,0.0024368662184764
ct_srv_dst,10.0,0.0024291103934083,9,0.0024459431090233
