rank,feature,mean_abs_shap_value,mean_shap_value,scale
1,ackdat,0.05524433739690316,0.0014503367872430247,probability
2,sbytes,0.038011379460214614,0.023939760961176195,probability
3,tcprtt,0.031648679067930174,0.006135399916631737,probability
4,dbytes,0.029751594397982237,0.010665426151508634,probability
5,dload,0.029419582843139752,0.009870372203375067,probability
6,rate,0.02913700183280872,0.009636596386786319,probability
7,sloss,0.025162446392812534,0.014255517784998265,probability
8,smean,0.02423345706164912,0.006465938738934737,probability
9,state,0.02326196238146214,0.015041662676193618,probability
10,ct_dst_sport_ltm,0.022546965705974323,0.02042261455852306,probability
11,dmean,0.022024626911634176,0.005766837360350122,probability
12,swin,0.02088503204022959,0.012456524748128146,probability
13,synack,0.01877306593797106,0.0027369101940725605,probability
14,ct_srv_dst,0.01811918457127623,-0.006313999259027142,probability
15,dinpkt,0.015359926055042819,-0.003243718891228161,probability
16,ct_srv_src,0.014858044722594206,-0.005378169055220648,probability
17,ct_dst_src_ltm,0.013310132284770688,0.004788741432701947,probability
18,sinpkt,0.012562765034675908,0.0045742130107447685,probability
19,service,0.01201030734284972,0.005421952647396161,probability
20,sload,0.011892620712562614,0.0028620343022127096,probability
21,proto,0.0076760274647411425,0.004742391970296354,probability
22,dur,0.006952851757441993,0.0012818454345253436,probability
23,dpkts,0.00565179143950151,-0.0008170960872282093,probability
24,spkts,0.005313961605571404,6.6417629289388105e-06,probability
25,ct_src_ltm,0.004788374239110106,0.0013937414494147185,probability
26,dloss,0.004419486537897661,0.00047677537383736246,probability
27,djit,0.004112890079429022,-0.00044392876275243165,probability
28,sjit,0.0038306699209778943,0.0010386534291686369,probability
29,stcpb,0.0030163953575472833,0.001151002961253224,probability
30,ct_src_dport_ltm,0.002980403699669789,-0.00040888231042125403,probability
31,ct_dst_ltm,0.002908674228909436,0.0013044436215306758,probability
32,dtcpb,0.002853908194597099,1.2134645339887063e-05,probability
33,trans_depth,0.00222482819603661,-0.00037697331652477976,probability
34,dwin,0.0016005146518249852,0.0005978264761587326,probability
35,ct_flw_http_mthd,0.0009702798655854577,0.00021943578822365657,probability
36,is_sm_ips_ports,0.0007637639511447413,0.00046763674966038364,probability
37,response_body_len,0.0006515936467016835,0.0003161007161346666,probability
38,ct_ftp_cmd,7.268031300684333e-05,4.5167084685508216e-05,probability
39,is_ftp_login,5.805832240161052e-05,4.111834299984194e-05,probability
