arm,feature,importance_mean,rank,importance_std
no_ttl_frozen,ackdat,0.02193944378515471,1,6.243614984553372e-05
no_ttl_frozen,dload,0.01391672246877429,2,0.0001683539307931069
no_ttl_frozen,ct_dst_sport_ltm,0.00620030140214638,3,0.00011852831527444437
no_ttl_frozen,ct_dst_src_ltm,0.0055316504259908415,4,4.450232404703351e-05
no_ttl_frozen,smean,0.004831013175176824,5,5.029888241694843e-05
no_ttl_frozen,ct_srv_src,0.004707611155123459,6,0.00014505330700154397
no_ttl_frozen,dbytes,0.004040166149337688,7,9.842140193006169e-05
no_ttl_frozen,sbytes,0.003974617649671086,8,4.7886805532627975e-05
no_ttl_frozen,service,0.002858274942233807,9,0.00012927529930432924
no_ttl_frozen,ct_srv_dst,0.00242911039340834,10,7.497370963465022e-05
no_ttl_frozen,dmean,0.0021859982190417957,11,6.307048701106484e-05
no_ttl_frozen,synack,0.0018386017005662448,12,6.312344299521648e-05
no_ttl_frozen,tcprtt,0.0017230480799713898,13,2.6481102331309705e-05
no_ttl_frozen,sinpkt,0.0015785494792253773,14,5.9289297918678084e-05
no_ttl_frozen,swin,0.0011193355767211033,15,2.6586970171479746e-05
no_ttl_frozen,proto,0.0008340448731176009,16,3.352182983582597e-05
no_ttl_frozen,response_body_len,0.0007843333677401753,17,9.398340440460357e-06
no_ttl_frozen,rate,0.0007176791824302642,18,2.1880052981724602e-05
no_ttl_frozen,sloss,0.000591475956065346,19,2.06374161967063e-05
no_ttl_frozen,state,0.0005026336012156519,20,1.2111128917296116e-05
no_ttl_frozen,dur,0.00043939769911913726,21,2.7754616426175148e-05
no_ttl_frozen,ct_src_dport_ltm,0.00038265768288998637,22,2.8374399311006335e-05
no_ttl_frozen,sload,0.0003498441809616226,23,1.6761934697485414e-05
no_ttl_frozen,dtcpb,0.00033844910682132576,24,2.270553871656121e-05
no_ttl_frozen,dloss,0.00030259248359736367,25,9.713729270919518e-06
no_ttl_frozen,stcpb,0.0002910015559101087,26,2.5587886492479217e-05
no_ttl_frozen,spkts,0.00025293376982846725,27,3.1887722425474966e-05
no_ttl_frozen,dinpkt,0.00024163482259047518,28,2.498065172775553e-05
no_ttl_frozen,djit,0.0001805663834668847,29,3.738990284303192e-05
no_ttl_frozen,ct_dst_ltm,0.00015505943229463526,30,6.29530322129041e-05
no_ttl_frozen,dpkts,0.00010125072064064433,31,3.165381477431098e-05
no_ttl_frozen,ct_ftp_cmd,3.344474662636543e-06,32,1.3199648504932601e-06
no_ttl_frozen,is_ftp_login,2.757946531573019e-06,33,8.438880608428206e-07
no_ttl_frozen,dwin,6.872301169025264e-07,34,7.413804999963629e-07
