feature,no_ttl_rank,no_ttl_importance_mean,with_ttl_rank,with_ttl_importance_mean
sttl,,,1,0.08169886999635005
ct_dst_sport_ltm,3.0,0.00620030140214638,2,0.007604211900855895
ct_dst_src_ltm,4.0,0.0055316504259908415,3,0.00571998870723982
smean,5.0,0.004831013175176824,4,0.0054590493928639685
ct_srv_src,6.0,0.004707611155123459,5,0.004105212617800192
sbytes,8.0,0.003974617649671086,6,0.0032937493291765874
dbytes,7.0,0.004040166149337688,7,0.003034147024224043
dmean,11.0,0.0021859982190417957,8,0.0028908085785738003
ct_srv_dst,10.0,0.00242911039340834,9,0.002445943109023374
service,9.0,0.002858274942233807,10,0.0024368662184764966
ct_state_ttl,,,11,0.0019417427597218095
synack,12.0,0.0018386017005662448,12,0.001053143494941966
dload,2.0,0.01391672246877429,13,0.0009790180621988887
proto,16.0,0.0008340448731176009,14,0.0009593500108387332
sinpkt,14.0,0.0015785494792253773,15,0.0008877700114071407
tcprtt,13.0,0.0017230480799713898,16,0.0007370376486981911
dur,21.0,0.00043939769911913726,17,0.0005567819771097992
response_body_len,17.0,0.0007843333677401753,18,0.00048431264785409045
dpkts,31.0,0.00010125072064064433,19,0.00044774700771714747
dloss,25.0,0.00030259248359736367,20,0.000398367631860852
dtcpb,24.0,0.00033844910682132576,21,0.0003956005280491226
sloss,19.0,0.000591475956065346,22,0.00038133170126140035
ct_src_dport_ltm,22.0,0.00038265768288998637,23,0.0002738926585235557
rate,18.0,0.0007176791824302642,24,0.00026253641153175524
ct_dst_ltm,30.0,0.00015505943229463526,25,0.00024664753477661173
state,20.0,0.0005026336012156519,26,0.0002071012411008377
dinpkt,28.0,0.00024163482259047518,27,0.0001916312601974779
dttl,,,28,0.0001687100357489868
spkts,27.0,0.00025293376982846725,29,0.0001099270399618657
swin,15.0,0.0011193355767211033,30,0.00010591459512756529
stcpb,26.0,0.0002910015559101087,31,0.00010065795932061583
sload,23.0,0.0003498441809616226,32,1.469861757472657e-05
ackdat,1.0,0.02193944378515471,33,7.392693794439076e-06
is_ftp_login,33.0,2.757946531573019e-06,34,3.566077941430379e-06
ct_ftp_cmd,32.0,3.344474662636543e-06,35,8.986182192582959e-07
dwin,34.0,6.872301169025264e-07,36,0.0
is_sm_ips_ports,35.0,4.596057199046655e-07,37,-2.4339777620063786e-07
sjit,37.0,-0.00012907185585280255,38,-6.832525645872334e-05
ct_flw_http_mthd,39.0,-0.00015370109517907072,39,-0.00011475091026527106
trans_depth,36.0,-0.00010717395505168703,40,-0.00012017886145718749
djit,29.0,0.0001805663834668847,41,-0.00019103453414794913
ct_src_ltm,38.0,-0.00015019095866255494,42,-0.0004605650311340748
