feature,PSI,KS
dur,0.4215582357148111,0.29740952380116226
spkts,0.30097530241739395,0.2628522434374862
dpkts,0.521243566111633,0.30701381241180514
sbytes,0.42859210985859364,0.2701346445717366
dbytes,0.5278174060560449,0.3199569994654564
rate,0.4254432697098912,0.288376597638461
sload,0.38170289525154927,0.2866983716622553
dload,0.5298896210267211,0.3151234737007741
sloss,0.27217475736766994,0.24166850864044603
dloss,0.3135657077388643,0.25577308512150965
sinpkt,0.25006384100296764,0.25630511763008107
dinpkt,0.49021403024000354,0.30699763178980577
sjit,0.214728563634511,0.2591620242205506
djit,0.2902232070303998,0.2855610118036582
swin,0.0,0.23954687722439733
stcpb,0.2521526467913387,0.254058641409221
dtcpb,0.25373742549137795,0.25415379163652974
dwin,0.0,0.2543955001473015
tcprtt,0.2585931042858641,0.2567850656226004
synack,0.2676197269759495,0.2566198639946129
ackdat,0.21175761722293204,0.2570287914715301
smean,0.18457606839803786,0.17120495243881795
dmean,0.543360170842738,0.31884116011610375
trans_depth,0.0557386833500582,0.07869440563183383
response_body_len,0.0,0.04059068716043246
ct_srv_src,0.28060145009386095,0.1957320811344233
ct_dst_ltm,0.14724056592377444,0.1319288625077455
ct_src_dport_ltm,0.37337600182404873,0.2506529822579018
ct_dst_sport_ltm,0.5898144600878457,0.28112387019955787
ct_dst_src_ltm,0.16593822738161065,0.14359392705581409
is_ftp_login,0.0,0.01033818053279445
ct_ftp_cmd,0.0,0.010313888641427793
ct_flw_http_mthd,0.05577876241766864,0.07871869752320049
ct_src_ltm,0.13899602031927674,0.13909654820683237
ct_srv_dst,0.2732405389940166,0.19385510764307584
is_sm_ips_ports,0.0,0.007197719878358821
proto,0.291312833246127,0.1827137233510887
service,0.19675219376892122,0.148073342373508
state,0.5032727598544988,0.3063612429194289
