rank,stage,config_id,params_json,C,penalty,solver,class_weight,max_iter,converged,n_iter,fit_seconds,train_pr_auc,train_roc_auc,train_accuracy,train_precision,train_recall,train_f1,val_pr_auc,val_roc_auc,val_accuracy,val_precision,val_recall,val_f1
1,round2,round2_liblinear_l1_C100.0_weightnone,"{""C"": 100.0, ""class_weight"": null, ""max_iter"": 3000, ""penalty"": ""l1"", ""random_state"": 42, ""solver"": ""liblinear"", ""tol"": 0.001}",100.0,l1,liblinear,None,3000,True,25,4.49633780028671,0.911455,0.933253,0.881421,0.832633,0.945145,0.885329,0.913102,0.936002,0.886156,0.839356,0.946005,0.889495
2,round2,round2_liblinear_l1_C10.0_weightnone,"{""C"": 10.0, ""class_weight"": null, ""max_iter"": 3000, ""penalty"": ""l1"", ""random_state"": 42, ""solver"": ""liblinear"", ""tol"": 0.001}",10.0,l1,liblinear,None,3000,True,24,4.6039039003662765,0.911349,0.933236,0.881408,0.832645,0.945094,0.885313,0.912992,0.935964,0.886056,0.839264,0.945901,0.889398
3,round2,round2_liblinear_l1_C1.0_weightnone,"{""C"": 1.0, ""class_weight"": null, ""max_iter"": 3000, ""penalty"": ""l1"", ""random_state"": 42, ""solver"": ""liblinear"", ""tol"": 0.001}",1.0,l1,liblinear,None,3000,True,25,3.830858699977398,0.910609,0.932881,0.881195,0.832473,0.944835,0.885102,0.912161,0.93556,0.886156,0.839294,0.946108,0.889506
4,round2,round2_liblinear_l1_C10.0_weightbalanced,"{""C"": 10.0, ""class_weight"": ""balanced"", ""max_iter"": 3000, ""penalty"": ""l1"", ""random_state"": 42, ""solver"": ""liblinear"", ""tol"": 0.001}",10.0,l1,liblinear,balanced,3000,True,28,4.6827231999486685,0.910183,0.932678,0.881847,0.830756,0.949473,0.886156,0.911848,0.935416,0.887411,0.838359,0.950876,0.891079
5,round2,round2_liblinear_l1_C1.0_weightbalanced,"{""C"": 1.0, ""class_weight"": ""balanced"", ""max_iter"": 3000, ""penalty"": ""l1"", ""random_state"": 42, ""solver"": ""liblinear"", ""tol"": 0.001}",1.0,l1,liblinear,balanced,3000,True,30,5.113117299973965,0.90986,0.93253,0.881797,0.830486,0.94981,0.886149,0.911478,0.935237,0.88711,0.837776,0.951083,0.890841
6,round2,round2_liblinear_l1_C0.1_weightnone,"{""C"": 0.1, ""class_weight"": null, ""max_iter"": 3000, ""penalty"": ""l1"", ""random_state"": 42, ""solver"": ""liblinear"", ""tol"": 0.001}",0.1,l1,liblinear,None,3000,True,30,7.375342600047588,0.90969,0.932279,0.880316,0.830392,0.94613,0.884491,0.911269,0.935102,0.885353,0.837627,0.946834,0.888889
7,round2,round2_liblinear_l1_C100.0_weightbalanced,"{""C"": 100.0, ""class_weight"": ""balanced"", ""max_iter"": 3000, ""penalty"": ""l1"", ""random_state"": 42, ""solver"": ""liblinear"", ""tol"": 0.001}",100.0,l1,liblinear,balanced,3000,True,15,2.0193103002384305,0.908215,0.931587,0.881207,0.830261,0.948669,0.885524,0.909669,0.934293,0.886307,0.837415,0.949632,0.89
8,round2,round2_liblinear_l1_C0.1_weightbalanced,"{""C"": 0.1, ""class_weight"": ""balanced"", ""max_iter"": 3000, ""penalty"": ""l1"", ""random_state"": 42, ""solver"": ""liblinear"", ""tol"": 0.001}",0.1,l1,liblinear,balanced,3000,True,16,4.313418100122362,0.907505,0.931234,0.880216,0.827708,0.950535,0.884879,0.909149,0.934117,0.885453,0.835443,0.950772,0.889384
9,round2,round2_liblinear_l1_C0.01_weightnone,"{""C"": 0.01, ""class_weight"": null, ""max_iter"": 3000, ""penalty"": ""l1"", ""random_state"": 42, ""solver"": ""liblinear"", ""tol"": 0.001}",0.01,l1,liblinear,None,3000,True,27,2.2503949999809265,0.894253,0.925652,0.87812,0.826096,0.947892,0.882813,0.896762,0.928899,0.8845,0.834365,0.95015,0.888501
10,round2,round2_liblinear_l1_C0.01_weightbalanced,"{""C"": 0.01, ""class_weight"": ""balanced"", ""max_iter"": 3000, ""penalty"": ""l1"", ""random_state"": 42, ""solver"": ""liblinear"", ""tol"": 0.001}",0.01,l1,liblinear,balanced,3000,True,13,1.1957089002244174,0.891177,0.924115,0.876326,0.821627,0.951131,0.881649,0.893853,0.927401,0.881488,0.828822,0.951912,0.886113
11,round2,round2_lbfgs_l2_C0.01_weightbalanced,"{""C"": 0.01, ""class_weight"": ""balanced"", ""max_iter"": 3000, ""penalty"": ""l2"", ""random_state"": 42, ""solver"": ""lbfgs"", ""tol"": 0.001}",0.01,l2,lbfgs,balanced,3000,False,3000,38.39724489999935,0.871756,0.912587,0.863023,0.821195,0.916798,0.866367,0.873959,0.915417,0.867684,0.825853,0.921028,0.870848
12,round2,round2_lbfgs_l2_C1.0_weightnone,"{""C"": 1.0, ""class_weight"": null, ""max_iter"": 3000, ""penalty"": ""l2"", ""random_state"": 42, ""solver"": ""lbfgs"", ""tol"": 0.001}",1.0,l2,lbfgs,None,3000,False,3000,38.68077510036528,0.86916,0.910422,0.84883,0.806342,0.905294,0.852958,0.872205,0.913746,0.853378,0.810332,0.910353,0.857436
13,round2,round2_lbfgs_l2_C0.01_weightnone,"{""C"": 0.01, ""class_weight"": null, ""max_iter"": 3000, ""penalty"": ""l2"", ""random_state"": 42, ""solver"": ""lbfgs"", ""tol"": 0.001}",0.01,l2,lbfgs,None,3000,False,3000,39.70604859990999,0.868754,0.911806,0.86217,0.826205,0.905993,0.864262,0.871502,0.914771,0.868086,0.832591,0.910768,0.869927
14,round2,round2_lbfgs_l2_C1.0_weightbalanced,"{""C"": 1.0, ""class_weight"": ""balanced"", ""max_iter"": 3000, ""penalty"": ""l2"", ""random_state"": 42, ""solver"": ""lbfgs"", ""tol"": 0.001}",1.0,l2,lbfgs,balanced,3000,False,3000,40.565284200012684,0.865702,0.908889,0.852042,0.805489,0.915606,0.857025,0.86842,0.912215,0.856239,0.809055,0.920406,0.861146
15,round2,round2_lbfgs_l2_C10.0_weightnone,"{""C"": 10.0, ""class_weight"": null, ""max_iter"": 3000, ""penalty"": ""l2"", ""random_state"": 42, ""solver"": ""lbfgs"", ""tol"": 0.001}",10.0,l2,lbfgs,None,3000,False,3000,40.36935629975051,0.865542,0.908531,0.849583,0.802869,0.913793,0.854747,0.867832,0.911639,0.854131,0.807198,0.918126,0.859096
16,round2,round2_lbfgs_l2_C10.0_weightbalanced,"{""C"": 10.0, ""class_weight"": ""balanced"", ""max_iter"": 3000, ""penalty"": ""l2"", ""random_state"": 42, ""solver"": ""lbfgs"", ""tol"": 0.001}",10.0,l2,lbfgs,balanced,3000,False,3000,37.33583390014246,0.860175,0.90752,0.861781,0.819757,0.916021,0.865219,0.862719,0.910817,0.867734,0.826354,0.920303,0.870802
17,round2,round2_lbfgs_l2_C100.0_weightbalanced,"{""C"": 100.0, ""class_weight"": ""balanced"", ""max_iter"": 3000, ""penalty"": ""l2"", ""random_state"": 42, ""solver"": ""lbfgs"", ""tol"": 0.001}",100.0,l2,lbfgs,balanced,3000,False,3000,39.0004210001789,0.85668,0.905722,0.859208,0.814297,0.918845,0.863418,0.859202,0.909101,0.865325,0.820896,0.923412,0.869141
18,round2,round2_lbfgs_l2_C0.1_weightbalanced,"{""C"": 0.1, ""class_weight"": ""balanced"", ""max_iter"": 3000, ""penalty"": ""l2"", ""random_state"": 42, ""solver"": ""lbfgs"", ""tol"": 0.001}",0.1,l2,lbfgs,balanced,3000,False,3000,36.73213610006496,0.857317,0.904471,0.839493,0.784581,0.921644,0.847607,0.859181,0.907167,0.84369,0.788878,0.924759,0.851431
19,round2,round2_lbfgs_l2_C100.0_weightnone,"{""C"": 100.0, ""class_weight"": null, ""max_iter"": 3000, ""penalty"": ""l2"", ""random_state"": 42, ""solver"": ""lbfgs"", ""tol"": 0.001}",100.0,l2,lbfgs,None,3000,False,3000,39.02678779978305,0.851573,0.902495,0.859735,0.81645,0.91641,0.863547,0.854326,0.906003,0.865325,0.823038,0.919681,0.86868
20,round2,round2_lbfgs_l2_C0.1_weightnone,"{""C"": 0.1, ""class_weight"": null, ""max_iter"": 3000, ""penalty"": ""l2"", ""random_state"": 42, ""solver"": ""lbfgs"", ""tol"": 0.001}",0.1,l2,lbfgs,None,3000,False,3000,37.173789099790156,0.847236,0.899981,0.858104,0.808903,0.925712,0.863374,0.849447,0.903458,0.863568,0.815074,0.929112,0.868365
21,round2,round2_liblinear_l2_C0.1_weightbalanced,"{""C"": 0.1, ""class_weight"": ""balanced"", ""max_iter"": 3000, ""penalty"": ""l2"", ""random_state"": 42, ""solver"": ""liblinear"", ""tol"": 0.001}",0.1,l2,liblinear,balanced,3000,True,71,6.630585400387645,0.846267,0.900825,0.865947,0.811333,0.942347,0.871946,0.848339,0.904083,0.870947,0.817456,0.94445,0.876376
22,round2,round2_liblinear_l2_C1.0_weightnone,"{""C"": 1.0, ""class_weight"": null, ""max_iter"": 3000, ""penalty"": ""l2"", ""random_state"": 42, ""solver"": ""liblinear"", ""tol"": 0.001}",1.0,l2,liblinear,None,3000,True,209,13.151442599948496,0.826491,0.889019,0.857853,0.803698,0.934833,0.86432,0.829488,0.892925,0.862765,0.807908,0.940201,0.869049
23,round2,round2_liblinear_l2_C0.01_weightnone,"{""C"": 0.01, ""class_weight"": null, ""max_iter"": 3000, ""penalty"": ""l2"", ""random_state"": 42, ""solver"": ""liblinear"", ""tol"": 0.001}",0.01,l2,liblinear,None,3000,True,192,11.687870500143617,0.825382,0.887841,0.856686,0.801326,0.936206,0.863531,0.827967,0.891713,0.862112,0.806266,0.941548,0.868671
24,round2,round2_liblinear_l2_C0.01_weightbalanced,"{""C"": 0.01, ""class_weight"": ""balanced"", ""max_iter"": 3000, ""penalty"": ""l2"", ""random_state"": 42, ""solver"": ""liblinear"", ""tol"": 0.001}",0.01,l2,liblinear,balanced,3000,True,45,3.394817200023681,0.824582,0.888239,0.851264,0.788362,0.947167,0.860499,0.827628,0.892223,0.855035,0.791498,0.95129,0.864069
25,round2,round2_liblinear_l2_C0.1_weightnone,"{""C"": 0.1, ""class_weight"": null, ""max_iter"": 3000, ""penalty"": ""l2"", ""random_state"": 42, ""solver"": ""liblinear"", ""tol"": 0.001}",0.1,l2,liblinear,None,3000,True,44,3.073073399718851,0.822618,0.886812,0.856121,0.798859,0.939471,0.863478,0.825559,0.890788,0.860606,0.803052,0.943621,0.86768
26,round2,round2_liblinear_l2_C100.0_weightnone,"{""C"": 100.0, ""class_weight"": null, ""max_iter"": 3000, ""penalty"": ""l2"", ""random_state"": 42, ""solver"": ""liblinear"", ""tol"": 0.001}",100.0,l2,liblinear,None,3000,True,42,3.065241700038314,0.821896,0.886338,0.856008,0.801409,0.934185,0.862718,0.824937,0.890325,0.860606,0.805368,0.939165,0.867136
27,round2,round2_liblinear_l2_C100.0_weightbalanced,"{""C"": 100.0, ""class_weight"": ""balanced"", ""max_iter"": 3000, ""penalty"": ""l2"", ""random_state"": 42, ""solver"": ""liblinear"", ""tol"": 0.001}",100.0,l2,liblinear,balanced,3000,True,50,4.0170239000581205,0.820549,0.885825,0.85149,0.78842,0.947685,0.860747,0.823417,0.889564,0.854081,0.790103,0.951498,0.863322
28,round2,round2_liblinear_l2_C1.0_weightbalanced,"{""C"": 1.0, ""class_weight"": ""balanced"", ""max_iter"": 3000, ""penalty"": ""l2"", ""random_state"": 42, ""solver"": ""liblinear"", ""tol"": 0.001}",1.0,l2,liblinear,balanced,3000,True,56,4.205047700088471,0.820064,0.885388,0.853686,0.793655,0.943098,0.861947,0.822982,0.889171,0.85649,0.795217,0.947767,0.864816
29,round2,round2_liblinear_l2_C10.0_weightbalanced,"{""C"": 10.0, ""class_weight"": ""balanced"", ""max_iter"": 3000, ""penalty"": ""l2"", ""random_state"": 42, ""solver"": ""liblinear"", ""tol"": 0.001}",10.0,l2,liblinear,balanced,3000,True,46,3.4804100999608636,0.818356,0.8844,0.851704,0.790412,0.944161,0.860473,0.821141,0.888064,0.854633,0.792515,0.948078,0.863345
30,round2,round2_liblinear_l2_C10.0_weightnone,"{""C"": 10.0, ""class_weight"": null, ""max_iter"": 3000, ""penalty"": ""l2"", ""random_state"": 42, ""solver"": ""liblinear"", ""tol"": 0.001}",10.0,l2,liblinear,None,3000,True,59,4.673783400095999,0.815335,0.881822,0.848365,0.78993,0.935766,0.856685,0.817685,0.885197,0.851521,0.792362,0.939683,0.859757
