stage,config_id,params_json,C,penalty,solver,class_weight,max_iter,converged,n_iter,fit_seconds,train_pr_auc,train_roc_auc,train_accuracy,train_precision,train_recall,train_f1,val_pr_auc,val_roc_auc,val_accuracy,val_precision,val_recall,val_f1
solver,lbfgs_l2,"{""C"": 1.0, ""class_weight"": null, ""max_iter"": 10000, ""penalty"": ""l2"", ""random_state"": 42, ""solver"": ""lbfgs""}",1.0,l2,lbfgs,None,10000,False,5000,65.0498681999743,0.887272,0.920776,0.856736,0.801397,0.936206,0.863572,0.887117,0.922669,0.860908,0.806616,0.93761,0.867194
solver,liblinear_l1,"{""C"": 1.0, ""class_weight"": null, ""max_iter"": 10000, ""penalty"": ""l1"", ""random_state"": 42, ""solver"": ""liblinear""}",1.0,l1,liblinear,None,10000,True,33,24.890875000040978,0.911929,0.933523,0.881621,0.832619,0.94569,0.885559,0.913621,0.936233,0.886608,0.839427,0.947041,0.889993
solver,liblinear_l2,"{""C"": 1.0, ""class_weight"": null, ""max_iter"": 10000, ""penalty"": ""l2"", ""random_state"": 42, ""solver"": ""liblinear""}",1.0,l2,liblinear,None,10000,True,417,31.148500399664044,0.894252,0.92545,0.873289,0.821219,0.94385,0.878275,0.895592,0.928167,0.879078,0.828077,0.946938,0.883528
regularization,solverrank1_liblinear_l1_C0.01,"{""C"": 0.01, ""class_weight"": null, ""max_iter"": 10000, ""penalty"": ""l1"", ""random_state"": 42, ""solver"": ""liblinear""}",0.01,l1,liblinear,None,10000,True,47,6.142788699828088,0.895468,0.92631,0.878572,0.826414,0.948514,0.883264,0.897915,0.929553,0.885052,0.834774,0.950876,0.88905
regularization,solverrank1_liblinear_l1_C0.1,"{""C"": 0.1, ""class_weight"": null, ""max_iter"": 10000, ""penalty"": ""l1"", ""random_state"": 42, ""solver"": ""liblinear""}",0.1,l1,liblinear,None,10000,True,42,10.536134700290859,0.909671,0.932279,0.880467,0.830453,0.946415,0.88465,0.911229,0.935088,0.885303,0.837612,0.94673,0.888835
regularization,solverrank1_liblinear_l1_C1.0,"{""C"": 1.0, ""class_weight"": null, ""max_iter"": 10000, ""penalty"": ""l1"", ""random_state"": 42, ""solver"": ""liblinear""}",1.0,l1,liblinear,None,10000,True,33,22.399101899936795,0.911929,0.933523,0.881621,0.832619,0.94569,0.885559,0.913621,0.936233,0.886608,0.839427,0.947041,0.889993
regularization,solverrank1_liblinear_l1_C10.0,"{""C"": 10.0, ""class_weight"": null, ""max_iter"": 10000, ""penalty"": ""l1"", ""random_state"": 42, ""solver"": ""liblinear""}",10.0,l1,liblinear,None,10000,True,48,13.913973900023848,0.912219,0.933655,0.881609,0.832797,0.945353,0.885512,0.913933,0.936397,0.886859,0.839688,0.947248,0.890231
regularization,solverrank1_liblinear_l1_C100.0,"{""C"": 100.0, ""class_weight"": null, ""max_iter"": 10000, ""penalty"": ""l1"", ""random_state"": 42, ""solver"": ""liblinear""}",100.0,l1,liblinear,None,10000,True,34,5.090185199864209,0.911729,0.933392,0.881559,0.832751,0.945301,0.885464,0.913401,0.936151,0.886256,0.839261,0.946419,0.889625
regularization,solverrank2_liblinear_l2_C0.01,"{""C"": 0.01, ""class_weight"": null, ""max_iter"": 10000, ""penalty"": ""l2"", ""random_state"": 42, ""solver"": ""liblinear""}",0.01,l2,liblinear,None,10000,True,478,35.81024760007858,0.894961,0.925627,0.873602,0.820425,0.946104,0.878794,0.896169,0.928366,0.879882,0.82797,0.949218,0.884458
regularization,solverrank2_liblinear_l2_C0.1,"{""C"": 0.1, ""class_weight"": null, ""max_iter"": 10000, ""penalty"": ""l2"", ""random_state"": 42, ""solver"": ""liblinear""}",0.1,l2,liblinear,None,10000,True,282,26.129575199913234,0.901875,0.928572,0.874832,0.8227,0.945275,0.879739,0.90342,0.931454,0.880685,0.830846,0.946316,0.88483
regularization,solverrank2_liblinear_l2_C1.0,"{""C"": 1.0, ""class_weight"": null, ""max_iter"": 10000, ""penalty"": ""l2"", ""random_state"": 42, ""solver"": ""liblinear""}",1.0,l2,liblinear,None,10000,True,417,29.16816459968686,0.894252,0.92545,0.873289,0.821219,0.94385,0.878275,0.895592,0.928167,0.879078,0.828077,0.946938,0.883528
regularization,solverrank2_liblinear_l2_C10.0,"{""C"": 10.0, ""class_weight"": null, ""max_iter"": 10000, ""penalty"": ""l2"", ""random_state"": 42, ""solver"": ""liblinear""}",10.0,l2,liblinear,None,10000,True,360,27.87272029975429,0.89566,0.925958,0.874129,0.820364,0.947607,0.879407,0.896875,0.928579,0.879781,0.827228,0.950254,0.884484
regularization,solverrank2_liblinear_l2_C100.0,"{""C"": 100.0, ""class_weight"": null, ""max_iter"": 10000, ""penalty"": ""l2"", ""random_state"": 42, ""solver"": ""liblinear""}",100.0,l2,liblinear,None,10000,True,261,21.135630799923092,0.891369,0.924159,0.872824,0.820448,0.944005,0.877901,0.89256,0.926809,0.87958,0.828351,0.947767,0.884045
class_weight,regrank1_solverrank1_liblinear_l1_C10.0_weightnone,"{""C"": 10.0, ""class_weight"": null, ""max_iter"": 10000, ""penalty"": ""l1"", ""random_state"": 42, ""solver"": ""liblinear""}",10.0,l1,liblinear,None,10000,True,48,14.486847900319844,0.912219,0.933655,0.881609,0.832797,0.945353,0.885512,0.913933,0.936397,0.886859,0.839688,0.947248,0.890231
class_weight,regrank1_solverrank1_liblinear_l1_C10.0_weightbalanced,"{""C"": 10.0, ""class_weight"": ""balanced"", ""max_iter"": 10000, ""penalty"": ""l1"", ""random_state"": 42, ""solver"": ""liblinear""}",10.0,l1,liblinear,balanced,10000,True,41,9.038754599634558,0.910856,0.933006,0.882048,0.830848,0.949835,0.886366,0.912584,0.93576,0.88726,0.837944,0.951187,0.890981
class_weight,regrank2_solverrank1_liblinear_l1_C1.0_weightnone,"{""C"": 1.0, ""class_weight"": null, ""max_iter"": 10000, ""penalty"": ""l1"", ""random_state"": 42, ""solver"": ""liblinear""}",1.0,l1,liblinear,None,10000,True,33,24.08171070041135,0.911929,0.933523,0.881621,0.832619,0.94569,0.885559,0.913621,0.936233,0.886608,0.839427,0.947041,0.889993
class_weight,regrank2_solverrank1_liblinear_l1_C1.0_weightbalanced,"{""C"": 1.0, ""class_weight"": ""balanced"", ""max_iter"": 10000, ""penalty"": ""l1"", ""random_state"": 42, ""solver"": ""liblinear""}",1.0,l1,liblinear,balanced,10000,True,30,5.194284499622881,0.90986,0.93253,0.881797,0.830486,0.94981,0.886149,0.911478,0.935237,0.88711,0.837776,0.951083,0.890841
baseline,default,"{""C"": 1.0, ""class_weight"": null, ""max_iter"": 3000, ""penalty"": ""l2"", ""random_state"": 42, ""solver"": ""lbfgs"", ""tol"": 0.001}",1.0,l2,lbfgs,None,3000,False,3000,33.66986719984561,0.86916,0.910422,0.84883,0.806342,0.905294,0.852958,0.872205,0.913746,0.853378,0.810332,0.910353,0.857436
