model,metric,observed,bootstrap_median,ci_lower_2_5,ci_upper_97_5,bootstrap_replicates_requested,bootstrap_replicates_valid,bootstrap_replicates_skipped,seed,resampling_unit
Random Forest,pr_auc,0.9822719108680403,0.9822763453505405,0.9816416206792001,0.9829247040544129,2000,2000,0,42,test rows with replacement
Random Forest,roc_auc,0.9774644776913153,0.9774719114967862,0.9767204938929751,0.9782244298941783,2000,2000,0,42,test rows with replacement
Random Forest,f1,0.8920372740361542,0.8920411424210144,0.8899914897696954,0.8940460834480473,2000,2000,0,42,test rows with replacement
Random Forest,precision,0.8157596371882087,0.815765245052485,0.8124835928114609,0.8190034876894773,2000,2000,0,42,test rows with replacement
Random Forest,recall,0.9840510015000441,0.9840347675197341,0.9828752042150561,0.9851632096322626,2000,2000,0,42,test rows with replacement
Random Forest,accuracy,0.8688480785113929,0.8688723704027596,0.8665761793713259,0.8712046956226012,2000,2000,0,42,test rows with replacement
XGBoost,pr_auc,0.9859274974007409,0.9859237518134543,0.9853935170582241,0.9864440661071542,2000,2000,0,42,test rows with replacement
XGBoost,roc_auc,0.9809003722685008,0.9808939458083694,0.9802410359935254,0.9815800383758057,2000,2000,0,42,test rows with replacement
XGBoost,f1,0.893122311435278,0.8931170177640173,0.8910818708275074,0.8951670500493204,2000,2000,0,42,test rows with replacement
XGBoost,precision,0.8219206022510245,0.8219061223539672,0.8186766994627194,0.8251619247350727,2000,2000,0,42,test rows with replacement
XGBoost,recall,0.9778302303008912,0.977830990156501,0.976500931827461,0.9791635282161645,2000,2000,0,42,test rows with replacement
XGBoost,accuracy,0.8711436622455424,0.8711436622455424,0.8688845163484429,0.8734519992226595,2000,2000,0,42,test rows with replacement
