model,scope,source,parameter,level,comparison_type,n_rows,n_unique_configurations,mean_val_pr_auc,median_val_pr_auc,min_val_pr_auc,max_val_pr_auc,mean_val_roc_auc,max_val_roc_auc,mean_best_iteration,paired_comparison_count,paired_delta_mean_pr_auc,paired_delta_min_pr_auc,paired_delta_max_pr_auc,best_config_id
Random Forest,round1_staged_or_round2,depth,max_depth,None,descriptive_stage_aggregate,3,3,0.9834966666666668,0.983346,0.983339,0.983805,0.9853666666666667,0.98554,,0,,,,depth_dnone_leaf2
Random Forest,round1_staged_or_round2,depth,max_depth,15,descriptive_stage_aggregate,3,3,0.9826429999999999,0.98272,0.982363,0.982846,0.9844689999999999,0.984632,,0,,,,depth_d15_leaf2
Random Forest,round1_staged_or_round2,depth,max_depth,25,descriptive_stage_aggregate,3,3,0.98345,0.983523,0.98325,0.983577,0.9853323333333334,0.985579,,0,,,,depth_d25_leaf1
Random Forest,round1_staged_or_round2,depth,max_depth,35,descriptive_stage_aggregate,3,3,0.9835493333333334,0.983437,0.983358,0.983853,0.985395,0.985564,,0,,,,depth_d35_leaf2
Random Forest,round1_staged_or_round2,depth,min_samples_leaf,1,descriptive_stage_aggregate,4,4,0.98326825,0.9833879999999999,0.98272,0.983577,0.98531375,0.985579,,0,,,,depth_d25_leaf1
Random Forest,round1_staged_or_round2,depth,min_samples_leaf,2,descriptive_stage_aggregate,4,4,0.98350675,0.9836640000000001,0.982846,0.983853,0.9852817500000001,0.985564,,0,,,,depth_d35_leaf2
Random Forest,round1_staged_or_round2,depth,min_samples_leaf,5,descriptive_stage_aggregate,4,4,0.98307925,0.983298,0.982363,0.983358,0.98482675,0.985069,,0,,,,depth_d35_leaf5
Random Forest,round1_staged_or_round2,features,max_depth,35,descriptive_stage_aggregate,6,6,0.9839086666666667,0.9838549999999999,0.983566,0.984256,0.9857360000000001,0.985953,,0,,,,depthrank1_depth_d35_leaf2_features0p5_weightnone
Random Forest,round1_staged_or_round2,features,max_depth,None,descriptive_stage_aggregate,6,6,0.9839215,0.9839485,0.983506,0.984247,0.9857263333333334,0.98596,,0,,,,depthrank2_depth_dnone_leaf2_features0p5_weightbalanced
Random Forest,round1_staged_or_round2,features,max_features,sqrt,descriptive_stage_aggregate,4,4,0.9836825,0.9836855,0.983506,0.983853,0.985495,0.985564,,0,,,,depthrank1_depth_d35_leaf2_featuressqrt_weightnone
Random Forest,round1_staged_or_round2,features,max_features,0.3,descriptive_stage_aggregate,4,4,0.983825,0.9837775,0.983653,0.984092,0.9857485,0.985779,,0,,,,depthrank2_depth_dnone_leaf2_features0p3_weightbalanced
Random Forest,round1_staged_or_round2,features,max_features,0.5,descriptive_stage_aggregate,4,4,0.98423775,0.9842365,0.984222,0.984256,0.98595,0.98596,,0,,,,depthrank1_depth_d35_leaf2_features0p5_weightnone
Random Forest,round1_staged_or_round2,features,class_weight,None,descriptive_stage_aggregate,6,6,0.9839151666666668,0.9838290000000001,0.983653,0.984256,0.9857485,0.985953,,0,,,,depthrank1_depth_d35_leaf2_features0p5_weightnone
Random Forest,round1_staged_or_round2,features,class_weight,balanced,descriptive_stage_aggregate,6,6,0.983915,0.9839745,0.983506,0.984247,0.9857138333333332,0.98596,,0,,,,depthrank2_depth_dnone_leaf2_features0p5_weightbalanced
Random Forest,round1_staged_or_round2,estimators,n_estimators,200,descriptive_stage_aggregate,2,2,0.984129,0.984129,0.984063,0.984195,0.985881,0.985894,,0,,,,featurerank2_depthrank2_depth_dnone_leaf2_features0p5_weightbalanced_n200
Random Forest,round1_staged_or_round2,estimators,n_estimators,400,descriptive_stage_aggregate,2,2,0.984289,0.984289,0.984257,0.984321,0.9859975,0.986014,,0,,,,featurerank1_depthrank1_depth_d35_leaf2_features0p5_weightnone_n400
Random Forest,round1_staged_or_round2,estimators,n_estimators,800,descriptive_stage_aggregate,2,2,0.9842645,0.9842645,0.984221,0.984308,0.9860150000000001,0.986032,,0,,,,featurerank1_depthrank1_depth_d35_leaf2_features0p5_weightnone_n800
Random Forest,round1_staged_or_round2,estimators,max_depth,35,descriptive_stage_aggregate,3,3,0.9842306666666666,0.984308,0.984063,0.984321,0.9859713333333332,0.986032,,0,,,,featurerank1_depthrank1_depth_d35_leaf2_features0p5_weightnone_n400
Random Forest,round1_staged_or_round2,estimators,max_depth,None,descriptive_stage_aggregate,3,3,0.9842243333333333,0.984221,0.984195,0.984257,0.9859576666666667,0.985998,,0,,,,featurerank2_depthrank2_depth_dnone_leaf2_features0p5_weightbalanced_n400
