model,scope,source,parameter,level,comparison_type,n_rows,n_unique_configurations,mean_val_pr_auc,median_val_pr_auc,min_val_pr_auc,max_val_pr_auc,mean_val_roc_auc,max_val_roc_auc,mean_best_iteration,paired_comparison_count,paired_delta_mean_pr_auc,paired_delta_min_pr_auc,paired_delta_max_pr_auc,best_config_id
XGBoost,round1_staged_or_round2,structure,max_depth,4,descriptive_stage_aggregate,3,3,0.9842866666666666,0.984207,0.983885,0.984768,0.9860029999999999,0.986392,761.3333333333334,0,,,,structure_d4_child1
XGBoost,round1_staged_or_round2,structure,max_depth,6,descriptive_stage_aggregate,3,3,0.9847633333333333,0.984739,0.984603,0.984948,0.9863796666666667,0.986478,549.0,0,,,,structure_d6_child5
XGBoost,round1_staged_or_round2,structure,max_depth,8,descriptive_stage_aggregate,3,3,0.9851420000000001,0.985229,0.984893,0.985304,0.9866396666666667,0.986873,433.6666666666667,0,,,,structure_d8_child1
XGBoost,round1_staged_or_round2,structure,max_depth,10,descriptive_stage_aggregate,3,3,0.985033,0.985083,0.984589,0.985427,0.9865443333333332,0.98696,259.3333333333333,0,,,,structure_d10_child1
XGBoost,round1_staged_or_round2,structure,min_child_weight,1,descriptive_stage_aggregate,4,4,0.9850595000000001,0.985036,0.984739,0.985427,0.98667575,0.98696,450.75,0,,,,structure_d10_child1
XGBoost,round1_staged_or_round2,structure,min_child_weight,5,descriptive_stage_aggregate,4,4,0.98486675,0.9850155,0.984207,0.985229,0.986414,0.986673,534.5,0,,,,structure_d8_child5
XGBoost,round1_staged_or_round2,structure,min_child_weight,10,descriptive_stage_aggregate,4,4,0.9844925000000001,0.984596,0.983885,0.984893,0.98608525,0.986373,517.25,0,,,,structure_d8_child10
XGBoost,round1_staged_or_round2,sampling,max_depth,10,descriptive_stage_aggregate,9,9,0.9854622222222221,0.985502,0.985194,0.985675,0.986913,0.987185,278.77777777777777,0,,,,structurerank1_structure_d10_child1_sub1.0_col0.6
XGBoost,round1_staged_or_round2,sampling,max_depth,8,descriptive_stage_aggregate,9,9,0.9852161111111111,0.985218,0.985033,0.985394,0.9867597777777777,0.986977,375.3333333333333,0,,,,structurerank2_structure_d8_child1_sub1.0_col1.0
XGBoost,round1_staged_or_round2,sampling,subsample,0.7,descriptive_stage_aggregate,6,6,0.9851771666666665,0.98519,0.985033,0.985398,0.9866651666666667,0.986858,320.8333333333333,0,,,,structurerank1_structure_d10_child1_sub0.7_col0.8
XGBoost,round1_staged_or_round2,sampling,subsample,0.85,descriptive_stage_aggregate,6,6,0.985376,0.9853540000000001,0.985189,0.98556,0.9868375,0.986991,286.6666666666667,0,,,,structurerank1_structure_d10_child1_sub0.85_col1.0
XGBoost,round1_staged_or_round2,sampling,subsample,1,descriptive_stage_aggregate,6,6,0.9854643333333333,0.985448,0.985218,0.985675,0.9870065,0.987185,373.6666666666667,0,,,,structurerank1_structure_d10_child1_sub1.0_col0.6
XGBoost,round1_staged_or_round2,sampling,colsample_bytree,0.6,descriptive_stage_aggregate,6,6,0.9853281666666667,0.985269,0.985033,0.985675,0.9868171666666666,0.987132,341.6666666666667,0,,,,structurerank1_structure_d10_child1_sub1.0_col0.6
XGBoost,round1_staged_or_round2,sampling,colsample_bytree,0.8,descriptive_stage_aggregate,6,6,0.9853621666666665,0.985338,0.985186,0.985663,0.9868666666666668,0.987185,332.0,0,,,,structurerank1_structure_d10_child1_sub1.0_col0.8
XGBoost,round1_staged_or_round2,sampling,colsample_bytree,1,descriptive_stage_aggregate,6,6,0.9853271666666666,0.9853295,0.985048,0.98556,0.9868253333333333,0.986991,307.5,0,,,,structurerank1_structure_d10_child1_sub0.85_col1.0
XGBoost,round1_staged_or_round2,regularization,colsample_bytree,0.6,descriptive_stage_aggregate,6,6,0.985615,0.9855944999999999,0.985375,0.985938,0.9870555,0.987283,447.6666666666667,0,,,,samplingrank1_structurerank1_structure_d10_child1_sub1.0_col0.6_lambda1.0_alpha1.0
XGBoost,round1_staged_or_round2,regularization,colsample_bytree,0.8,descriptive_stage_aggregate,6,6,0.9855298333333334,0.985592,0.985104,0.985729,0.98703,0.987185,338.6666666666667,0,,,,samplingrank2_structurerank1_structure_d10_child1_sub1.0_col0.8_lambda5.0_alpha0.0
XGBoost,round1_staged_or_round2,regularization,reg_lambda,1,descriptive_stage_aggregate,4,4,0.9857415,0.9856825,0.985663,0.985938,0.9871757499999999,0.987283,336.25,0,,,,samplingrank1_structurerank1_structure_d10_child1_sub1.0_col0.6_lambda1.0_alpha1.0
XGBoost,round1_staged_or_round2,regularization,reg_lambda,5,descriptive_stage_aggregate,4,4,0.98554525,0.985493,0.985466,0.985729,0.98701825,0.987144,354.5,0,,,,samplingrank2_structurerank1_structure_d10_child1_sub1.0_col0.8_lambda5.0_alpha0.0
XGBoost,round1_staged_or_round2,regularization,reg_lambda,10,descriptive_stage_aggregate,4,4,0.9854305,0.985448,0.985104,0.985722,0.98693425,0.987148,488.75,0,,,,samplingrank1_structurerank1_structure_d10_child1_sub1.0_col0.6_lambda10.0_alpha0.0
XGBoost,round1_staged_or_round2,regularization,reg_alpha,0,descriptive_stage_aggregate,6,6,0.9855678333333332,0.9856689999999999,0.985104,0.985729,0.9870653333333332,0.987185,386.0,0,,,,samplingrank2_structurerank1_structure_d10_child1_sub1.0_col0.8_lambda5.0_alpha0.0
XGBoost,round1_staged_or_round2,regularization,reg_alpha,1,descriptive_stage_aggregate,6,6,0.985577,0.9854965,0.985375,0.985938,0.9870201666666666,0.987283,400.3333333333333,0,,,,samplingrank1_structurerank1_structure_d10_child1_sub1.0_col0.6_lambda1.0_alpha1.0
XGBoost,round1_staged_or_round2,learning_rate,learning_rate,0.03,descriptive_stage_aggregate,2,2,0.9856445,0.9856445,0.985366,0.985923,0.9871185,0.987312,947.5,0,,,,regrank1_samplingrank1_structurerank1_structure_d10_child1_sub1.0_col0.6_lambda1.0_alpha1.0_lr0.03
XGBoost,round1_staged_or_round2,learning_rate,learning_rate,0.05,descriptive_stage_aggregate,2,2,0.98572,0.98572,0.985539,0.985901,0.987182,0.987296,639.0,0,,,,regrank1_samplingrank1_structurerank1_structure_d10_child1_sub1.0_col0.6_lambda1.0_alpha1.0_lr0.05
XGBoost,round1_staged_or_round2,learning_rate,learning_rate,0.1,descriptive_stage_aggregate,2,2,0.9858335,0.9858335,0.985729,0.985938,0.9872135,0.987283,318.0,0,,,,regrank1_samplingrank1_structurerank1_structure_d10_child1_sub1.0_col0.6_lambda1.0_alpha1.0_lr0.1
XGBoost,round1_staged_or_round2,learning_rate,colsample_bytree,0.6,descriptive_stage_aggregate,3,3,0.9859206666666666,0.985923,0.985901,0.985938,0.987297,0.987312,696.6666666666666,0,,,,regrank1_samplingrank1_structurerank1_structure_d10_child1_sub1.0_col0.6_lambda1.0_alpha1.0_lr0.1
XGBoost,round1_staged_or_round2,learning_rate,colsample_bytree,0.8,descriptive_stage_aggregate,3,3,0.9855446666666667,0.985539,0.985366,0.985729,0.9870456666666666,0.987144,573.0,0,,,,regrank2_samplingrank2_structurerank1_structure_d10_child1_sub1.0_col0.8_lambda5.0_alpha0.0_lr0.1
XGBoost,round1_staged_or_round2,learning_rate,reg_lambda,1,descriptive_stage_aggregate,3,3,0.9859206666666666,0.985923,0.985901,0.985938,0.987297,0.987312,696.6666666666666,0,,,,regrank1_samplingrank1_structurerank1_structure_d10_child1_sub1.0_col0.6_lambda1.0_alpha1.0_lr0.1
XGBoost,round1_staged_or_round2,learning_rate,reg_lambda,5,descriptive_stage_aggregate,3,3,0.9855446666666667,0.985539,0.985366,0.985729,0.9870456666666666,0.987144,573.0,0,,,,regrank2_samplingrank2_structurerank1_structure_d10_child1_sub1.0_col0.8_lambda5.0_alpha0.0_lr0.1
XGBoost,round1_staged_or_round2,learning_rate,reg_alpha,1,descriptive_stage_aggregate,3,3,0.9859206666666666,0.985923,0.985901,0.985938,0.987297,0.987312,696.6666666666666,0,,,,regrank1_samplingrank1_structurerank1_structure_d10_child1_sub1.0_col0.6_lambda1.0_alpha1.0_lr0.1
XGBoost,round1_staged_or_round2,learning_rate,reg_alpha,0,descriptive_stage_aggregate,3,3,0.9855446666666667,0.985539,0.985366,0.985729,0.9870456666666666,0.987144,573.0,0,,,,regrank2_samplingrank2_structurerank1_structure_d10_child1_sub1.0_col0.8_lambda5.0_alpha0.0_lr0.1
XGBoost,round1_staged_or_round2,round2_joint,max_depth,10,descriptive_stage_aggregate,32,32,0.98535359375,0.9853235,0.984914,0.985938,0.9868015625,0.987283,337.4375,0,,,,round2_d10_child1_sub1.0_col0.6_lambda1.0_alpha1.0
XGBoost,round1_staged_or_round2,round2_joint,max_depth,8,descriptive_stage_aggregate,32,32,0.98521159375,0.9852035,0.984826,0.98575,0.98673428125,0.987144,463.375,0,,,,round2_d8_child1_sub1.0_col0.6_lambda1.0_alpha1.0
XGBoost,round1_staged_or_round2,round2_joint,min_child_weight,1,descriptive_stage_aggregate,32,32,0.98537803125,0.985336,0.984877,0.985938,0.98687215625,0.987283,372.53125,0,,,,round2_d10_child1_sub1.0_col0.6_lambda1.0_alpha1.0
XGBoost,round1_staged_or_round2,round2_joint,min_child_weight,5,descriptive_stage_aggregate,32,32,0.9851871562500001,0.9852405,0.984826,0.9856,0.9866636875,0.987023,428.28125,0,,,,round2_d8_child5_sub1.0_col0.6_lambda1.0_alpha0.0
XGBoost,round1_staged_or_round2,round2_joint,subsample,1,descriptive_stage_aggregate,32,32,0.9854461875,0.9854529999999999,0.985002,0.985938,0.986922625,0.987283,444.28125,0,,,,round2_d10_child1_sub1.0_col0.6_lambda1.0_alpha1.0
XGBoost,round1_staged_or_round2,round2_joint,subsample,0.85,descriptive_stage_aggregate,32,32,0.985119,0.9851025,0.984826,0.985534,0.9866132187500001,0.98692,356.53125,0,,,,round2_d10_child1_sub0.85_col0.6_lambda1.0_alpha0.0
XGBoost,round1_staged_or_round2,round2_joint,colsample_bytree,0.6,descriptive_stage_aggregate,32,32,0.9852930625,0.9852915,0.984826,0.985938,0.9867659375,0.987283,413.40625,0,,,,round2_d10_child1_sub1.0_col0.6_lambda1.0_alpha1.0
XGBoost,round1_staged_or_round2,round2_joint,colsample_bytree,0.8,descriptive_stage_aggregate,32,32,0.985272125,0.985274,0.984877,0.985729,0.98676990625,0.987185,387.40625,0,,,,round2_d10_child1_sub1.0_col0.8_lambda5.0_alpha0.0
XGBoost,round1_staged_or_round2,round2_joint,reg_lambda,1,descriptive_stage_aggregate,32,32,0.9853518437500001,0.9853355,0.984826,0.985938,0.98681228125,0.987283,378.21875,0,,,,round2_d10_child1_sub1.0_col0.6_lambda1.0_alpha1.0
XGBoost,round1_staged_or_round2,round2_joint,reg_lambda,5,descriptive_stage_aggregate,32,32,0.98521334375,0.985259,0.984848,0.985729,0.9867235624999999,0.987144,422.59375,0,,,,round2_d10_child1_sub1.0_col0.8_lambda5.0_alpha0.0
XGBoost,round1_staged_or_round2,round2_joint,reg_alpha,1,descriptive_stage_aggregate,32,32,0.98525675,0.9852734999999999,0.984826,0.985938,0.9867391562500001,0.987283,393.25,0,,,,round2_d10_child1_sub1.0_col0.6_lambda1.0_alpha1.0
XGBoost,round1_staged_or_round2,round2_joint,reg_alpha,0,descriptive_stage_aggregate,32,32,0.9853084375,0.9852915,0.984937,0.985729,0.9867966875,0.987185,407.5625,0,,,,round2_d10_child1_sub1.0_col0.8_lambda5.0_alpha0.0
XGBoost,round2_joint,round2_joint,max_depth,8 -> 10,controlled_one_factor,2,2,0.9858439999999999,0.9858439999999999,0.98575,0.985938,0.9872135,0.987283,428.5,1,0.00018799999999996597,0.00018799999999996597,0.00018799999999996597,round2_d10_child1_sub1.0_col0.6_lambda1.0_alpha1.0
XGBoost,round2_joint,round2_joint,max_depth,8 -> 10,controlled_one_factor,2,2,0.9854179999999999,0.9854179999999999,0.985107,0.985729,0.986943,0.987144,382.0,1,0.0006220000000000114,0.0006220000000000114,0.0006220000000000114,round2_d10_child1_sub1.0_col0.8_lambda5.0_alpha0.0
XGBoost,round2_joint,round2_joint,max_depth,8 -> 10,controlled_one_factor,2,2,0.985692,0.985692,0.98569,0.985694,0.987088,0.987103,510.0,1,-4.000000000004e-06,-4.000000000004e-06,-4.000000000004e-06,round2_d8_child1_sub1.0_col0.8_lambda1.0_alpha1.0
XGBoost,round2_joint,round2_joint,max_depth,8 -> 10,controlled_one_factor,2,2,0.9855045,0.9855045,0.985334,0.985675,0.987027,0.987132,391.0,1,0.0003409999999999247,0.0003409999999999247,0.0003409999999999247,round2_d10_child1_sub1.0_col0.6_lambda1.0_alpha0.0
XGBoost,round2_joint,round2_joint,max_depth,8 -> 10,controlled_one_factor,2,2,0.9854404999999999,0.9854404999999999,0.985218,0.985663,0.987027,0.987185,332.0,1,0.0004449999999999177,0.0004449999999999177,0.0004449999999999177,round2_d10_child1_sub1.0_col0.8_lambda1.0_alpha0.0
XGBoost,round2_joint,round2_joint,max_depth,8 -> 10,controlled_one_factor,2,2,0.985571,0.985571,0.985514,0.985628,0.98705,0.987085,549.5,1,-0.00011399999999994748,-0.00011399999999994748,-0.00011399999999994748,round2_d8_child1_sub1.0_col0.6_lambda5.0_alpha0.0
XGBoost,round2_joint,round2_joint,max_depth,8 -> 10,controlled_one_factor,2,2,0.9854475,0.9854475,0.985295,0.9856,0.9868885000000001,0.987023,447.5,1,-0.0003049999999999997,-0.0003049999999999997,-0.0003049999999999997,round2_d8_child5_sub1.0_col0.6_lambda1.0_alpha0.0
XGBoost,round2_joint,round2_joint,max_depth,8 -> 10,controlled_one_factor,2,2,0.9854395,0.9854395,0.985337,0.985542,0.986826,0.986875,453.5,1,-0.00020500000000001073,-0.00020500000000001073,-0.00020500000000001073,round2_d8_child5_sub1.0_col0.6_lambda1.0_alpha1.0
XGBoost,round2_joint,round2_joint,max_depth,8 -> 10,controlled_one_factor,2,2,0.9853615,0.9853615,0.985189,0.985534,0.9868225,0.986913,322.0,1,0.0003450000000000397,0.0003450000000000397,0.0003450000000000397,round2_d10_child1_sub0.85_col0.6_lambda1.0_alpha0.0
XGBoost,round2_joint,round2_joint,max_depth,8 -> 10,controlled_one_factor,2,2,0.9854835,0.9854835,0.985466,0.985501,0.9869600000000001,0.986981,499.0,1,-3.500000000000725e-05,-3.500000000000725e-05,-3.500000000000725e-05,round2_d8_child1_sub1.0_col0.6_lambda5.0_alpha1.0
XGBoost,round2_joint,round2_joint,max_depth,8 -> 10,controlled_one_factor,2,2,0.9852099999999999,0.9852099999999999,0.984938,0.985482,0.9867250000000001,0.98692,173.5,1,0.0005439999999999889,0.0005439999999999889,0.0005439999999999889,round2_d10_child1_sub0.85_col0.8_lambda1.0_alpha1.0
XGBoost,round2_joint,round2_joint,max_depth,8 -> 10,controlled_one_factor,2,2,0.9854245,0.9854245,0.985372,0.985477,0.9869095,0.986935,374.0,1,0.00010500000000002174,0.00010500000000002174,0.00010500000000002174,round2_d10_child5_sub1.0_col0.8_lambda1.0_alpha1.0
XGBoost,round2_joint,round2_joint,max_depth,8 -> 10,controlled_one_factor,2,2,0.985298,0.985298,0.985121,0.985475,0.9867925,0.98686,515.5,1,0.00035399999999996545,0.00035399999999996545,0.00035399999999996545,round2_d10_child5_sub1.0_col0.6_lambda5.0_alpha0.0
XGBoost,round2_joint,round2_joint,max_depth,8 -> 10,controlled_one_factor,2,2,0.9854050000000001,0.9854050000000001,0.985338,0.985472,0.9869645,0.986975,336.5,1,0.00013399999999996748,0.00013399999999996748,0.00013399999999996748,round2_d10_child1_sub1.0_col0.8_lambda5.0_alpha1.0
XGBoost,round2_joint,round2_joint,max_depth,8 -> 10,controlled_one_factor,2,2,0.985402,0.985402,0.985364,0.98544,0.986849,0.986865,443.5,1,-7.599999999996498e-05,-7.599999999996498e-05,-7.599999999996498e-05,round2_d8_child5_sub1.0_col0.8_lambda1.0_alpha0.0
XGBoost,round2_joint,round2_joint,max_depth,8 -> 10,controlled_one_factor,2,2,0.9853540000000001,0.9853540000000001,0.985278,0.98543,0.9867999999999999,0.986829,321.5,1,0.000152000000000041,0.000152000000000041,0.000152000000000041,round2_d10_child1_sub0.85_col0.8_lambda1.0_alpha0.0
XGBoost,round2_joint,round2_joint,max_depth,8 -> 10,controlled_one_factor,2,2,0.985331,0.985331,0.98526,0.985402,0.9867735,0.986797,531.5,1,0.00014199999999997548,0.00014199999999997548,0.00014199999999997548,round2_d10_child5_sub1.0_col0.8_lambda5.0_alpha0.0
XGBoost,round2_joint,round2_joint,max_depth,8 -> 10,controlled_one_factor,2,2,0.985308,0.985308,0.985304,0.985312,0.986794,0.986808,529.0,1,-8.000000000008e-06,-8.000000000008e-06,-8.000000000008e-06,round2_d8_child5_sub1.0_col0.8_lambda5.0_alpha1.0
XGBoost,round2_joint,round2_joint,max_depth,8 -> 10,controlled_one_factor,2,2,0.985299,0.985299,0.985288,0.98531,0.986785,0.986796,382.5,1,2.199999999996649e-05,2.199999999996649e-05,2.199999999996649e-05,round2_d10_child1_sub0.85_col0.6_lambda5.0_alpha0.0
XGBoost,round2_joint,round2_joint,max_depth,8 -> 10,controlled_one_factor,2,2,0.985168,0.985168,0.985026,0.98531,0.9866245,0.986699,412.5,1,0.000284000000000062,0.000284000000000062,0.000284000000000062,round2_d10_child5_sub0.85_col0.6_lambda1.0_alpha0.0
XGBoost,round2_joint,round2_joint,max_depth,8 -> 10,controlled_one_factor,2,2,0.985125,0.985125,0.984973,0.985277,0.9866094999999999,0.986694,378.5,1,0.00030399999999997096,0.00030399999999997096,0.00030399999999997096,round2_d10_child1_sub0.85_col0.6_lambda5.0_alpha1.0
XGBoost,round2_joint,round2_joint,max_depth,8 -> 10,controlled_one_factor,2,2,0.9850734999999999,0.9850734999999999,0.984877,0.98527,0.9866090000000001,0.986741,413.0,1,0.0003929999999999767,0.0003929999999999767,0.0003929999999999767,round2_d10_child1_sub0.85_col0.8_lambda5.0_alpha1.0
XGBoost,round2_joint,round2_joint,max_depth,8 -> 10,controlled_one_factor,2,2,0.9851300000000001,0.9851300000000001,0.985002,0.985258,0.986656,0.98673,385.5,1,0.00025599999999992296,0.00025599999999992296,0.00025599999999992296,round2_d10_child5_sub1.0_col0.6_lambda5.0_alpha1.0
XGBoost,round2_joint,round2_joint,max_depth,8 -> 10,controlled_one_factor,2,2,0.9852405,0.9852405,0.985227,0.985254,0.986648,0.986711,433.5,1,-2.6999999999999247e-05,-2.6999999999999247e-05,-2.6999999999999247e-05,round2_d8_child5_sub0.85_col0.8_lambda1.0_alpha0.0
XGBoost,round2_joint,round2_joint,max_depth,8 -> 10,controlled_one_factor,2,2,0.9851705,0.9851705,0.985169,0.985172,0.9866535000000001,0.986705,245.5,1,-3.000000000086267e-06,-3.000000000086267e-06,-3.000000000086267e-06,round2_d8_child1_sub0.85_col0.6_lambda1.0_alpha1.0
XGBoost,round2_joint,round2_joint,max_depth,8 -> 10,controlled_one_factor,2,2,0.985047,0.985047,0.984937,0.985157,0.986561,0.986626,371.0,1,0.00021999999999999797,0.00021999999999999797,0.00021999999999999797,round2_d10_child5_sub0.85_col0.8_lambda5.0_alpha0.0
XGBoost,round2_joint,round2_joint,max_depth,8 -> 10,controlled_one_factor,2,2,0.9850965,0.9850965,0.985086,0.985107,0.986677,0.986705,295.5,1,2.0999999999937735e-05,2.0999999999937735e-05,2.0999999999937735e-05,round2_d10_child1_sub0.85_col0.8_lambda5.0_alpha0.0
XGBoost,round2_joint,round2_joint,max_depth,8 -> 10,controlled_one_factor,2,2,0.984962,0.984962,0.984826,0.985098,0.986421,0.986493,331.0,1,0.00027200000000005,0.00027200000000005,0.00027200000000005,round2_d10_child5_sub0.85_col0.6_lambda1.0_alpha1.0
XGBoost,round2_joint,round2_joint,max_depth,8 -> 10,controlled_one_factor,2,2,0.9849684999999999,0.9849684999999999,0.984914,0.985023,0.9864735,0.986482,432.0,1,0.00010900000000002574,0.00010900000000002574,0.00010900000000002574,round2_d10_child5_sub0.85_col0.8_lambda1.0_alpha1.0
XGBoost,round2_joint,round2_joint,max_depth,8 -> 10,controlled_one_factor,2,2,0.9849289999999999,0.9849289999999999,0.984848,0.98501,0.986447,0.986482,482.5,1,0.0001620000000001065,0.0001620000000001065,0.0001620000000001065,round2_d10_child5_sub0.85_col0.6_lambda5.0_alpha1.0
XGBoost,round2_joint,round2_joint,max_depth,8 -> 10,controlled_one_factor,2,2,0.9849559999999999,0.9849559999999999,0.984938,0.984974,0.9864785,0.986482,390.0,1,-3.6000000000036e-05,-3.6000000000036e-05,-3.6000000000036e-05,round2_d8_child5_sub0.85_col0.6_lambda5.0_alpha0.0
XGBoost,round2_joint,round2_joint,max_depth,8 -> 10,controlled_one_factor,2,2,0.9849429999999999,0.9849429999999999,0.984914,0.984972,0.9864765,0.986509,320.0,1,-5.8000000000002494e-05,-5.8000000000002494e-05,-5.8000000000002494e-05,round2_d8_child5_sub0.85_col0.8_lambda5.0_alpha1.0
XGBoost,round2_joint,round2_joint,min_child_weight,1 -> 5,controlled_one_factor,2,2,0.9856374999999999,0.9856374999999999,0.985337,0.985938,0.9870300000000001,0.987283,323.5,1,-0.0006009999999999627,-0.0006009999999999627,-0.0006009999999999627,round2_d10_child1_sub1.0_col0.6_lambda1.0_alpha1.0
XGBoost,round2_joint,round2_joint,min_child_weight,1 -> 5,controlled_one_factor,2,2,0.985646,0.985646,0.985542,0.98575,0.9870095,0.987144,558.5,1,-0.00020799999999998597,-0.00020799999999998597,-0.00020799999999998597,round2_d8_child1_sub1.0_col0.6_lambda1.0_alpha1.0
XGBoost,round2_joint,round2_joint,min_child_weight,1 -> 5,controlled_one_factor,2,2,0.9855655,0.9855655,0.985402,0.985729,0.9869705,0.987144,453.0,1,-0.0003269999999999662,-0.0003269999999999662,-0.0003269999999999662,round2_d10_child1_sub1.0_col0.8_lambda5.0_alpha0.0
