rank,stage,config_id,params_json,hidden_layer_sizes,activation,solver,alpha,learning_rate_init,batch_size,max_iter,tol,shuffle,beta_1,beta_2,epsilon,early_stopping,validation_fraction,n_iter_no_change,n_iter,converged,stopped_early,loss,best_internal_validation_score,fit_seconds,train_pr_auc,train_roc_auc,train_accuracy,train_precision,train_recall,train_f1,val_pr_auc,val_roc_auc,val_accuracy,val_precision,val_recall,val_f1
1,round2,round2_17_hidden128x64_alpha0.0001_lr0.0005_batch128,"{""activation"": ""relu"", ""alpha"": 0.0001, ""batch_size"": 128, ""beta_1"": 0.9, ""beta_2"": 0.999, ""early_stopping"": true, ""epsilon"": 1e-08, ""hidden_layer_sizes"": [128, 64], ""learning_rate_init"": 0.0005, ""max_iter"": 100, ""n_iter_no_change"": 8, ""random_state"": 42, ""shuffle"": true, ""solver"": ""adam"", ""tol"": 0.0001, ""validation_fraction"": 0.1}","[128, 64]",relu,adam,0.0001,0.0005,128,100,0.0001,True,0.9,0.999,1e-08,True,0.1,8,28,True,True,0.344525,0.91103,23.64607,0.973437,0.976868,0.914149,0.901294,0.923924,0.912469,0.971851,0.976078,0.912961,0.902881,0.919163,0.910949
2,round2,round2_20_hidden128x64_alpha0.0001_lr0.001_batch256,"{""activation"": ""relu"", ""alpha"": 0.0001, ""batch_size"": 256, ""beta_1"": 0.9, ""beta_2"": 0.999, ""early_stopping"": true, ""epsilon"": 1e-08, ""hidden_layer_sizes"": [128, 64], ""learning_rate_init"": 0.001, ""max_iter"": 100, ""n_iter_no_change"": 8, ""random_state"": 42, ""shuffle"": true, ""solver"": ""adam"", ""tol"": 0.0001, ""validation_fraction"": 0.1}","[128, 64]",relu,adam,0.0001,0.001,256,100,0.0001,True,0.9,0.999,1e-08,True,0.1,8,46,True,True,0.253941,0.910026,30.352569,0.974642,0.977524,0.915204,0.907172,0.918949,0.913023,0.970701,0.975342,0.91271,0.906726,0.913773,0.910236
3,round2,round2_23_hidden128x64_alpha0.001_lr0.001_batch128,"{""activation"": ""relu"", ""alpha"": 0.001, ""batch_size"": 128, ""beta_1"": 0.9, ""beta_2"": 0.999, ""early_stopping"": true, ""epsilon"": 1e-08, ""hidden_layer_sizes"": [128, 64], ""learning_rate_init"": 0.001, ""max_iter"": 100, ""n_iter_no_change"": 8, ""random_state"": 42, ""shuffle"": true, ""solver"": ""adam"", ""tol"": 0.0001, ""validation_fraction"": 0.1}","[128, 64]",relu,adam,0.001,0.001,128,100,0.0001,True,0.9,0.999,1e-08,True,0.1,8,23,True,True,0.212389,0.910528,17.862488,0.967707,0.974085,0.913271,0.883764,0.945249,0.913473,0.965119,0.973175,0.913864,0.886109,0.943414,0.913864
4,round2,round2_10_hidden64x32_alpha0.0001_lr0.0005_batch256,"{""activation"": ""relu"", ""alpha"": 0.0001, ""batch_size"": 256, ""beta_1"": 0.9, ""beta_2"": 0.999, ""early_stopping"": true, ""epsilon"": 1e-08, ""hidden_layer_sizes"": [64, 32], ""learning_rate_init"": 0.0005, ""max_iter"": 100, ""n_iter_no_change"": 8, ""random_state"": 42, ""shuffle"": true, ""solver"": ""adam"", ""tol"": 0.0001, ""validation_fraction"": 0.1}","[64, 32]",relu,adam,0.0001,0.0005,256,100,0.0001,True,0.9,0.999,1e-08,True,0.1,8,52,True,True,0.374373,0.912285,19.937358,0.965636,0.972685,0.913961,0.887841,0.941259,0.91377,0.961881,0.971556,0.912659,0.889414,0.936056,0.912139
5,round2,round2_13_hidden64x32_alpha0.001_lr0.0005_batch128,"{""activation"": ""relu"", ""alpha"": 0.001, ""batch_size"": 128, ""beta_1"": 0.9, ""beta_2"": 0.999, ""early_stopping"": true, ""epsilon"": 1e-08, ""hidden_layer_sizes"": [64, 32], ""learning_rate_init"": 0.0005, ""max_iter"": 100, ""n_iter_no_change"": 8, ""random_state"": 42, ""shuffle"": true, ""solver"": ""adam"", ""tol"": 0.0001, ""validation_fraction"": 0.1}","[64, 32]",relu,adam,0.001,0.0005,128,100,0.0001,True,0.9,0.999,1e-08,True,0.1,8,39,True,True,0.311627,0.908646,18.999544,0.965433,0.97256,0.911552,0.882688,0.942658,0.911688,0.961479,0.971115,0.912308,0.885915,0.939994,0.912154
6,round2,round2_05_hidden64_alpha0.001_lr0.0005_batch128,"{""activation"": ""relu"", ""alpha"": 0.001, ""batch_size"": 128, ""beta_1"": 0.9, ""beta_2"": 0.999, ""early_stopping"": true, ""epsilon"": 1e-08, ""hidden_layer_sizes"": [64], ""learning_rate_init"": 0.0005, ""max_iter"": 100, ""n_iter_no_change"": 8, ""random_state"": 42, ""shuffle"": true, ""solver"": ""adam"", ""tol"": 0.0001, ""validation_fraction"": 0.1}",[64],relu,adam,0.001,0.0005,128,100,0.0001,True,0.9,0.999,1e-08,True,0.1,8,46,True,True,0.412103,0.907266,17.348061,0.961588,0.970173,0.907097,0.877841,0.938823,0.907308,0.958674,0.969274,0.908543,0.880728,0.938232,0.908571
7,round2,round2_11_hidden64x32_alpha0.0001_lr0.001_batch128,"{""activation"": ""relu"", ""alpha"": 0.0001, ""batch_size"": 128, ""beta_1"": 0.9, ""beta_2"": 0.999, ""early_stopping"": true, ""epsilon"": 1e-08, ""hidden_layer_sizes"": [64, 32], ""learning_rate_init"": 0.001, ""max_iter"": 100, ""n_iter_no_change"": 8, ""random_state"": 42, ""shuffle"": true, ""solver"": ""adam"", ""tol"": 0.0001, ""validation_fraction"": 0.1}","[64, 32]",relu,adam,0.0001,0.001,128,100,0.0001,True,0.9,0.999,1e-08,True,0.1,8,26,True,True,0.223625,0.90463,13.943947,0.959412,0.965361,0.904549,0.878398,0.931931,0.904373,0.957157,0.964504,0.903825,0.87918,0.929112,0.903457
8,round2,round2_16_hidden64x32_alpha0.001_lr0.001_batch256,"{""activation"": ""relu"", ""alpha"": 0.001, ""batch_size"": 256, ""beta_1"": 0.9, ""beta_2"": 0.999, ""early_stopping"": true, ""epsilon"": 1e-08, ""hidden_layer_sizes"": [64, 32], ""learning_rate_init"": 0.001, ""max_iter"": 100, ""n_iter_no_change"": 8, ""random_state"": 42, ""shuffle"": true, ""solver"": ""adam"", ""tol"": 0.0001, ""validation_fraction"": 0.1}","[64, 32]",relu,adam,0.001,0.001,256,100,0.0001,True,0.9,0.999,1e-08,True,0.1,8,29,True,True,0.420532,0.903878,10.069371,0.958534,0.965237,0.901977,0.889863,0.910269,0.89995,0.955615,0.964407,0.900211,0.893154,0.901855,0.897483
9,round2,round2_07_hidden64_alpha0.001_lr0.001_batch128,"{""activation"": ""relu"", ""alpha"": 0.001, ""batch_size"": 128, ""beta_1"": 0.9, ""beta_2"": 0.999, ""early_stopping"": true, ""epsilon"": 1e-08, ""hidden_layer_sizes"": [64], ""learning_rate_init"": 0.001, ""max_iter"": 100, ""n_iter_no_change"": 8, ""random_state"": 42, ""shuffle"": true, ""solver"": ""adam"", ""tol"": 0.0001, ""validation_fraction"": 0.1}",[64],relu,adam,0.001,0.001,128,100,0.0001,True,0.9,0.999,1e-08,True,0.1,8,40,True,True,0.542982,0.904379,15.024264,0.954614,0.961183,0.90037,0.882697,0.916021,0.89905,0.950281,0.959471,0.89996,0.884106,0.913152,0.898394
10,round2,round2_04_hidden64_alpha0.0001_lr0.001_batch256,"{""activation"": ""relu"", ""alpha"": 0.0001, ""batch_size"": 256, ""beta_1"": 0.9, ""beta_2"": 0.999, ""early_stopping"": true, ""epsilon"": 1e-08, ""hidden_layer_sizes"": [64], ""learning_rate_init"": 0.001, ""max_iter"": 100, ""n_iter_no_change"": 8, ""random_state"": 42, ""shuffle"": true, ""solver"": ""adam"", ""tol"": 0.0001, ""validation_fraction"": 0.1}",[64],relu,adam,0.0001,0.001,256,100,0.0001,True,0.9,0.999,1e-08,True,0.1,8,46,True,True,0.433338,0.903752,11.516291,0.954388,0.961635,0.902717,0.873622,0.934289,0.902937,0.949301,0.960126,0.901717,0.875867,0.928697,0.901509
