stage,config_id,params_json,hidden_layer_sizes,activation,solver,alpha,learning_rate_init,batch_size,max_iter,tol,shuffle,beta_1,beta_2,epsilon,early_stopping,validation_fraction,n_iter_no_change,n_iter,converged,stopped_early,loss,best_internal_validation_score,fit_seconds,train_pr_auc,train_roc_auc,train_accuracy,train_precision,train_recall,train_f1,val_pr_auc,val_roc_auc,val_accuracy,val_precision,val_recall,val_f1
baseline,default,"{""activation"": ""relu"", ""alpha"": 0.0001, ""batch_size"": 256, ""beta_1"": 0.9, ""beta_2"": 0.999, ""early_stopping"": true, ""epsilon"": 1e-08, ""hidden_layer_sizes"": [64, 32], ""learning_rate_init"": 0.001, ""max_iter"": 100, ""n_iter_no_change"": 8, ""random_state"": 42, ""shuffle"": true, ""solver"": ""adam"", ""tol"": 0.0001, ""validation_fraction"": 0.1}","[64, 32]",relu,adam,0.0001,0.001,256,100,0.0001,True,0.9,0.999,1e-08,True,0.1,8,27,True,True,0.35341,0.901493,9.99613,0.918513,0.96125,0.905553,0.872104,0.943332,0.906321,0.917768,0.960973,0.905481,0.874807,0.939268,0.905892
architecture,hidden_32,"{""activation"": ""relu"", ""alpha"": 0.0001, ""batch_size"": 256, ""beta_1"": 0.9, ""beta_2"": 0.999, ""early_stopping"": true, ""epsilon"": 1e-08, ""hidden_layer_sizes"": [32], ""learning_rate_init"": 0.001, ""max_iter"": 100, ""n_iter_no_change"": 8, ""random_state"": 42, ""shuffle"": true, ""solver"": ""adam"", ""tol"": 0.0001, ""validation_fraction"": 0.1}",[32],relu,adam,0.0001,0.001,256,100,0.0001,True,0.9,0.999,1e-08,True,0.1,8,46,True,True,0.43924,0.898984,10.580103,0.94618,0.959812,0.899693,0.857911,0.950276,0.901735,0.943431,0.958856,0.901315,0.862166,0.947767,0.902942
architecture,hidden_64,"{""activation"": ""relu"", ""alpha"": 0.0001, ""batch_size"": 256, ""beta_1"": 0.9, ""beta_2"": 0.999, ""early_stopping"": true, ""epsilon"": 1e-08, ""hidden_layer_sizes"": [64], ""learning_rate_init"": 0.001, ""max_iter"": 100, ""n_iter_no_change"": 8, ""random_state"": 42, ""shuffle"": true, ""solver"": ""adam"", ""tol"": 0.0001, ""validation_fraction"": 0.1}",[64],relu,adam,0.0001,0.001,256,100,0.0001,True,0.9,0.999,1e-08,True,0.1,8,46,True,True,0.433338,0.903752,13.879204,0.954388,0.961635,0.902717,0.873622,0.934289,0.902937,0.949301,0.960126,0.901717,0.875867,0.928697,0.901509
architecture,hidden_64x32,"{""activation"": ""relu"", ""alpha"": 0.0001, ""batch_size"": 256, ""beta_1"": 0.9, ""beta_2"": 0.999, ""early_stopping"": true, ""epsilon"": 1e-08, ""hidden_layer_sizes"": [64, 32], ""learning_rate_init"": 0.001, ""max_iter"": 100, ""n_iter_no_change"": 8, ""random_state"": 42, ""shuffle"": true, ""solver"": ""adam"", ""tol"": 0.0001, ""validation_fraction"": 0.1}","[64, 32]",relu,adam,0.0001,0.001,256,100,0.0001,True,0.9,0.999,1e-08,True,0.1,8,27,True,True,0.35341,0.901493,12.319212,0.918513,0.96125,0.905553,0.872104,0.943332,0.906321,0.917768,0.960973,0.905481,0.874807,0.939268,0.905892
architecture,hidden_128x64,"{""activation"": ""relu"", ""alpha"": 0.0001, ""batch_size"": 256, ""beta_1"": 0.9, ""beta_2"": 0.999, ""early_stopping"": true, ""epsilon"": 1e-08, ""hidden_layer_sizes"": [128, 64], ""learning_rate_init"": 0.001, ""max_iter"": 100, ""n_iter_no_change"": 8, ""random_state"": 42, ""shuffle"": true, ""solver"": ""adam"", ""tol"": 0.0001, ""validation_fraction"": 0.1}","[128, 64]",relu,adam,0.0001,0.001,256,100,0.0001,True,0.9,0.999,1e-08,True,0.1,8,46,True,True,0.253941,0.910026,33.703311,0.974642,0.977524,0.915204,0.907172,0.918949,0.913023,0.970701,0.975342,0.91271,0.906726,0.913773,0.910236
architecture,hidden_128x64x32,"{""activation"": ""relu"", ""alpha"": 0.0001, ""batch_size"": 256, ""beta_1"": 0.9, ""beta_2"": 0.999, ""early_stopping"": true, ""epsilon"": 1e-08, ""hidden_layer_sizes"": [128, 64, 32], ""learning_rate_init"": 0.001, ""max_iter"": 100, ""n_iter_no_change"": 8, ""random_state"": 42, ""shuffle"": true, ""solver"": ""adam"", ""tol"": 0.0001, ""validation_fraction"": 0.1}","[128, 64, 32]",relu,adam,0.0001,0.001,256,100,0.0001,True,0.9,0.999,1e-08,True,0.1,8,13,True,True,0.230041,0.888819,10.436193,0.92257,0.958295,0.891322,0.837243,0.962765,0.895627,0.923695,0.959317,0.895392,0.844271,0.961343,0.899011
regularization,archrank1_hidden_128x64_alpha1e-05,"{""activation"": ""relu"", ""alpha"": 1e-05, ""batch_size"": 256, ""beta_1"": 0.9, ""beta_2"": 0.999, ""early_stopping"": true, ""epsilon"": 1e-08, ""hidden_layer_sizes"": [128, 64], ""learning_rate_init"": 0.001, ""max_iter"": 100, ""n_iter_no_change"": 8, ""random_state"": 42, ""shuffle"": true, ""solver"": ""adam"", ""tol"": 0.0001, ""validation_fraction"": 0.1}","[128, 64]",relu,adam,1e-05,0.001,256,100,0.0001,True,0.9,0.999,1e-08,True,0.1,8,16,True,True,0.605457,0.894215,10.659611,0.900457,0.949526,0.895099,0.847421,0.955432,0.898191,0.900778,0.950845,0.899056,0.853939,0.954918,0.90161
regularization,archrank1_hidden_128x64_alpha0.0001,"{""activation"": ""relu"", ""alpha"": 0.0001, ""batch_size"": 256, ""beta_1"": 0.9, ""beta_2"": 0.999, ""early_stopping"": true, ""epsilon"": 1e-08, ""hidden_layer_sizes"": [128, 64], ""learning_rate_init"": 0.001, ""max_iter"": 100, ""n_iter_no_change"": 8, ""random_state"": 42, ""shuffle"": true, ""solver"": ""adam"", ""tol"": 0.0001, ""validation_fraction"": 0.1}","[128, 64]",relu,adam,0.0001,0.001,256,100,0.0001,True,0.9,0.999,1e-08,True,0.1,8,46,True,True,0.253941,0.910026,31.020225,0.974642,0.977524,0.915204,0.907172,0.918949,0.913023,0.970701,0.975342,0.91271,0.906726,0.913773,0.910236
regularization,archrank1_hidden_128x64_alpha0.001,"{""activation"": ""relu"", ""alpha"": 0.001, ""batch_size"": 256, ""beta_1"": 0.9, ""beta_2"": 0.999, ""early_stopping"": true, ""epsilon"": 1e-08, ""hidden_layer_sizes"": [128, 64], ""learning_rate_init"": 0.001, ""max_iter"": 100, ""n_iter_no_change"": 8, ""random_state"": 42, ""shuffle"": true, ""solver"": ""adam"", ""tol"": 0.0001, ""validation_fraction"": 0.1}","[128, 64]",relu,adam,0.001,0.001,256,100,0.0001,True,0.9,0.999,1e-08,True,0.1,8,38,True,True,0.195908,0.91216,24.661458,0.947552,0.97255,0.915229,0.891053,0.939885,0.914818,0.945747,0.971388,0.915571,0.893665,0.937196,0.914913
regularization,archrank1_hidden_128x64_alpha0.01,"{""activation"": ""relu"", ""alpha"": 0.01, ""batch_size"": 256, ""beta_1"": 0.9, ""beta_2"": 0.999, ""early_stopping"": true, ""epsilon"": 1e-08, ""hidden_layer_sizes"": [128, 64], ""learning_rate_init"": 0.001, ""max_iter"": 100, ""n_iter_no_change"": 8, ""random_state"": 42, ""shuffle"": true, ""solver"": ""adam"", ""tol"": 0.0001, ""validation_fraction"": 0.1}","[128, 64]",relu,adam,0.01,0.001,256,100,0.0001,True,0.9,0.999,1e-08,True,0.1,8,15,True,True,0.480845,0.894717,9.768881,0.908109,0.951396,0.894384,0.852576,0.945405,0.896594,0.908239,0.95244,0.89735,0.858679,0.94331,0.899007
