rank,config_id,n_estimators,max_depth,min_samples_leaf,max_features,class_weight,fit_seconds,val_pr_auc,val_roc_auc,val_accuracy,val_precision,val_recall,val_f1
1,round2_21,800,25,2,0.3,None,20.18622941600188,0.987519,0.987303,0.93539,0.922463,0.954608,0.93826
2,round2_37,1000,25,2,0.3,None,23.167575500003295,0.987518,0.98731,0.935578,0.922416,0.955066,0.938457
3,round2_34,1000,25,1,0.3,balanced,27.902202166998904,0.987375,0.987245,0.935342,0.925169,0.951215,0.938011
4,round2_18,800,25,1,0.3,balanced,21.68435395800043,0.987362,0.987231,0.935248,0.925308,0.950848,0.937904
5,round2_19,800,25,1,0.5,None,35.08352216699859,0.98736,0.987249,0.936191,0.924911,0.953324,0.938903
6,round2_35,1000,25,1,0.5,None,44.683456875001866,0.987351,0.987254,0.936427,0.925171,0.953508,0.939126
7,round2_24,800,25,2,0.5,balanced,34.30545941700257,0.987334,0.987407,0.937653,0.927012,0.953874,0.940251
8,round2_39,1000,25,2,0.5,None,39.8632089169987,0.987333,0.987386,0.93671,0.92408,0.955433,0.939495
9,round2_08,400,25,2,0.5,balanced,17.203222916999948,0.987314,0.987364,0.937417,0.926827,0.953599,0.940023
10,round2_40,1000,25,2,0.5,balanced,38.931491874998756,0.987313,0.987402,0.937512,0.926916,0.953691,0.940113
11,round2_38,1000,25,2,0.3,balanced,27.814151750000747,0.987306,0.987286,0.936286,0.925076,0.953324,0.938987
12,round2_07,400,25,2,0.5,None,16.281128624999837,0.987295,0.987336,0.935814,0.923726,0.953966,0.938602
13,round2_22,800,25,2,0.3,balanced,20.16007987500052,0.987295,0.987277,0.936238,0.925069,0.953232,0.93894
14,round2_23,800,25,2,0.5,None,34.07268020799893,0.987294,0.987363,0.93638,0.923732,0.955158,0.939182
15,round2_02,400,25,1,0.3,balanced,10.008665666002344,0.987263,0.987213,0.935625,0.925817,0.951032,0.938255
16,round2_32,800,35,2,0.5,balanced,36.15617524999834,0.987257,0.987338,0.937323,0.925979,0.954425,0.939986
17,round2_48,1000,35,2,0.5,balanced,43.962148791997606,0.987257,0.987358,0.937417,0.926143,0.954425,0.940071
18,round2_05,400,25,2,0.3,None,9.75253554200026,0.987252,0.987227,0.935437,0.922321,0.954883,0.938319
19,round2_20,800,25,1,0.5,balanced,34.59395749999749,0.987227,0.987213,0.936521,0.927466,0.95094,0.939056
20,round2_03,400,25,1,0.5,None,16.63334054200095,0.987224,0.987198,0.936097,0.924595,0.953508,0.938829
21,round2_36,1000,25,1,0.5,balanced,43.76485708299879,0.987222,0.98721,0.936474,0.927536,0.950757,0.939003
22,round2_47,1000,35,2,0.5,None,40.40845554200132,0.98722,0.987345,0.93671,0.924306,0.955158,0.939479
23,round2_17,800,25,1,0.3,None,22.35199145899969,0.987213,0.987136,0.935814,0.923952,0.953691,0.938586
24,round2_33,1000,25,1,0.3,None,27.078391291997832,0.9872,0.987127,0.935578,0.923767,0.953416,0.938357
25,round2_31,800,35,2,0.5,None,33.284614415999386,0.987197,0.98733,0.936663,0.923923,0.955525,0.939458
26,round2_28,800,35,1,0.5,balanced,38.94662600000083,0.987196,0.987174,0.936757,0.927193,0.951765,0.939319
27,round2_29,800,35,2,0.3,None,20.190208250001888,0.987193,0.987296,0.935908,0.923138,0.954883,0.938742
28,round2_44,1000,35,1,0.5,balanced,44.62216287499905,0.987177,0.987169,0.93671,0.927187,0.951674,0.939271
29,round2_45,1000,35,2,0.3,None,23.944345916999737,0.987169,0.987287,0.936003,0.923377,0.954791,0.938822
30,round2_04,400,25,1,0.5,balanced,17.242432041002758,0.987155,0.987139,0.935484,0.926254,0.950206,0.938077
31,round2_01,400,25,1,0.3,None,9.780003833999217,0.987148,0.987108,0.934965,0.923152,0.952866,0.937774
32,round2_16,400,35,2,0.5,balanced,16.87046766700223,0.98714,0.987256,0.937182,0.925883,0.954241,0.939848
33,round2_14,400,35,2,0.3,balanced,11.84844433300168,0.987132,0.987262,0.935955,0.924123,0.953783,0.938718
34,round2_13,400,35,2,0.3,None,9.29226487500273,0.987128,0.987251,0.936286,0.923343,0.955433,0.939114
35,round2_06,400,25,2,0.3,balanced,9.811124500000005,0.987119,0.98725,0.936663,0.925659,0.953416,0.939332
36,round2_12,400,35,1,0.5,balanced,16.911380500001542,0.987119,0.987117,0.936191,0.92681,0.951032,0.938764
37,round2_30,800,35,2,0.3,balanced,21.398820834001526,0.987087,0.987316,0.936191,0.924232,0.954149,0.938952
38,round2_15,400,35,2,0.5,None,17.841529124998488,0.987085,0.987243,0.936286,0.923793,0.954883,0.939081
39,round2_26,800,35,1,0.3,balanced,20.603693749999366,0.987053,0.987018,0.935295,0.924708,0.951674,0.937997
40,round2_46,1000,35,2,0.3,balanced,27.654592625000078,0.98705,0.987304,0.936191,0.924156,0.954241,0.938958
41,round2_42,1000,35,1,0.3,balanced,22.492434916999628,0.987048,0.987021,0.935154,0.924688,0.951398,0.937853
42,round2_10,400,35,1,0.3,balanced,10.065753332997701,0.987019,0.987018,0.935437,0.925107,0.95149,0.938113
43,round2_27,800,35,1,0.5,None,37.178751207997266,0.986927,0.987114,0.936616,0.925274,0.953783,0.939312
44,round2_43,1000,35,1,0.5,None,37.65832112499993,0.986913,0.987111,0.936804,0.925603,0.953783,0.939482
45,round2_11,400,35,1,0.5,None,17.24272691599981,0.986888,0.98709,0.93638,0.925543,0.952957,0.93905
46,round2_09,400,35,1,0.3,None,9.763218833002611,0.986885,0.987011,0.935531,0.92361,0.953508,0.938321
47,round2_41,1000,35,1,0.3,None,21.206843374999153,0.986861,0.986997,0.935861,0.924034,0.953691,0.938628
