stage,config_id,params_json,n_estimators,max_depth,min_samples_leaf,max_features,class_weight,fit_seconds,train_pr_auc,train_roc_auc,train_accuracy,train_precision,train_recall,train_f1,val_pr_auc,val_roc_auc,val_accuracy,val_precision,val_recall,val_f1
baseline,default,"{""class_weight"": null, ""max_depth"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 1, ""n_estimators"": 100}",100,,1,sqrt,,1.4310298330001388,0.9999977533618919,0.9999976425930006,0.9989860164595468,0.9986711572387564,0.9993580484673407,0.9990144847818115,0.9857050219072193,0.986266041952676,0.9325127334465195,0.9192777482740307,0.9524071526822558,0.9355492501013376
depth,depth_dnone_leaf1,"{""class_weight"": null, ""max_depth"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 1, ""n_estimators"": 300}",300,,1,sqrt,,4.129623167000318,0.9999980349005642,0.9999979419992719,0.9989860164595468,0.9986254610432751,0.9994039021482449,0.9990145299537059,0.986312900555306,0.9865293563799569,0.9335031126202603,0.9205421206484188,0.9529573590096286,0.9364693160313599
depth,depth_dnone_leaf2,"{""class_weight"": null, ""max_depth"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 2, ""n_estimators"": 300}",300,,2,sqrt,,3.943625666999651,0.9998377772314834,0.9998264745876152,0.9915226259815596,0.9857990578003262,0.9978907306784052,0.99180804156365,0.9864172375968594,0.9868829739527245,0.9348707790982833,0.9200035279590757,0.9565337001375516,0.9379130512970373
depth,depth_dnone_leaf5,"{""class_weight"": null, ""max_depth"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 5, ""n_estimators"": 300}",300,,5,sqrt,,3.746621582999069,0.997605249702554,0.9974708517824431,0.9707359634022685,0.9549828558787745,0.9897517023179035,0.9720564724955529,0.9863384041596983,0.9866400538613476,0.9341633654027542,0.9169516793826186,0.9588262265016048,0.9374215528061682
depth,depth_d15_leaf1,"{""class_weight"": null, ""max_depth"": 15, ""max_features"": ""sqrt"", ""min_samples_leaf"": 1, ""n_estimators"": 300}",300,15,1,sqrt,,3.6553234579987475,0.9948290532367572,0.9944002117405604,0.9538637489093782,0.9376929182467589,0.9750785244285485,0.956020365728929,0.9863393378457298,0.9861865748284924,0.9319468024900962,0.9124673060156931,0.9597432370472261,0.9355083798882682
depth,depth_d15_leaf2,"{""class_weight"": null, ""max_depth"": 15, ""max_features"": ""sqrt"", ""min_samples_leaf"": 2, ""n_estimators"": 300}",300,15,2,sqrt,,3.7663337499998306,0.9940598387780316,0.9935820735301077,0.9505741976560473,0.9329087515098277,0.9739321824059426,0.9529791816223977,0.9861518939267605,0.9861114438936059,0.9319468024900962,0.9116060553332174,0.9608436497019716,0.9355774811375508
depth,depth_d15_leaf5,"{""class_weight"": null, ""max_depth"": 15, ""max_features"": ""sqrt"", ""min_samples_leaf"": 5, ""n_estimators"": 300}",300,15,5,sqrt,,3.425812416999179,0.992394491817093,0.99185189818253,0.9443959723630533,0.924026073118092,0.9717770594034436,0.9473001966744145,0.9858368129994654,0.9857819424783565,0.9316638370118846,0.9103454261412949,0.961852361302155,0.9353903776697731
depth,depth_d25_leaf1,"{""class_weight"": null, ""max_depth"": 25, ""max_features"": ""sqrt"", ""min_samples_leaf"": 1, ""n_estimators"": 300}",300,25,1,sqrt,,4.002222000000984,0.9999874641458477,0.999986766576714,0.9983139576013395,0.9983264557542412,0.9983951211683518,0.9983607872806264,0.9866855741422054,0.9868136617030656,0.9335974344463309,0.9201097053879501,0.9536909674461256,0.9365994236311239
depth,depth_d25_leaf2,"{""class_weight"": null, ""max_depth"": 25, ""max_features"": ""sqrt"", ""min_samples_leaf"": 2, ""n_estimators"": 300}",300,25,2,sqrt,,4.296668541999679,0.9996850683802148,0.9996637010881742,0.9894474968755158,0.9840251971358651,0.9956439003140977,0.9898004535664224,0.9866102391314235,0.9869307254582704,0.9344463308809658,0.9192738168678946,0.9565337001375516,0.9375337048355205
depth,depth_d25_leaf5,"{""class_weight"": null, ""max_depth"": 25, ""max_features"": ""sqrt"", ""min_samples_leaf"": 5, ""n_estimators"": 300}",300,25,5,sqrt,,4.172198791999108,0.997337839019049,0.9971794309768118,0.9690499210036079,0.953953488372093,0.9874819451131439,0.9704281996687958,0.9865615359955012,0.9866305356142046,0.9329843425768722,0.9154547047485544,0.9581843191196698,0.9363322729512971
depth,depth_d35_leaf1,"{""class_weight"": null, ""max_depth"": 35, ""max_features"": ""sqrt"", ""min_samples_leaf"": 1, ""n_estimators"": 300}",300,35,1,sqrt,,4.399367750000238,0.9999980349005642,0.9999979419992719,0.9989860164595468,0.9985797732218532,0.9994497558291492,0.9990145751214593,0.986499228649366,0.9866361806737824,0.9332201471420487,0.9206489937051157,0.9522237505731316,0.9361702127659575
depth,depth_d35_leaf2,"{""class_weight"": null, ""max_depth"": 35, ""max_features"": ""sqrt"", ""min_samples_leaf"": 2, ""n_estimators"": 300}",300,35,2,sqrt,,4.416659791000711,0.9998380772600473,0.9998268630366439,0.9915108354752753,0.9856887298747764,0.9979824380402137,0.9917974891202808,0.9864821147957243,0.9869038802616974,0.9344934917940011,0.9199470432480141,0.9558000917010545,0.9375309197211603
depth,depth_d35_leaf5,"{""class_weight"": null, ""max_depth"": 35, ""max_features"": ""sqrt"", ""min_samples_leaf"": 5, ""n_estimators"": 300}",300,35,5,sqrt,,4.341431542001374,0.9976019838970627,0.9974667936587795,0.9706652203645625,0.955077563123769,0.9894995070729303,0.9719838749634033,0.9864447511611572,0.986632904046141,0.9341633654027542,0.917390922658239,0.958276020174232,0.9373878722640833
features,depthrank1_depth_d25_leaf1_featuressqrt_weightnone,"{""class_weight"": null, ""max_depth"": 25, ""max_features"": ""sqrt"", ""min_samples_leaf"": 1, ""n_estimators"": 300}",300,25,1,sqrt,,4.663953457999014,0.9999874641458477,0.9999867665767141,0.9983139576013395,0.9983264557542412,0.9983951211683518,0.9983607872806264,0.9866854914835397,0.9868136438953066,0.9335974344463309,0.9201097053879501,0.9536909674461256,0.9365994236311239
features,depthrank1_depth_d25_leaf1_featuressqrt_weightbalanced,"{""class_weight"": ""balanced"", ""max_depth"": 25, ""max_features"": ""sqrt"", ""min_samples_leaf"": 1, ""n_estimators"": 300}",300,25,1,sqrt,balanced,4.779919750000772,0.9999862502970552,0.999985477126285,0.9980899379819369,0.9983714475766681,0.9979136575188573,0.9981425000573303,0.986886240481688,0.9868045752940761,0.9345406527070365,0.9236179115107274,0.9513984410820725,0.9373023760050592
features,depthrank1_depth_d25_leaf1_features0p3_weightnone,"{""class_weight"": null, ""max_depth"": 25, ""max_features"": 0.3, ""min_samples_leaf"": 1, ""n_estimators"": 300}",300,25,1,0.3,,7.562842915998772,0.9999921105256293,0.9999916828499514,0.9985143962081732,0.9985556090515166,0.9985556090515166,0.9985556090515166,0.9868903105225589,0.9870448553851933,0.9355310318807772,0.9237604407321841,0.9533241632278772,0.9383094905004739
features,depthrank1_depth_d25_leaf1_features0p3_weightbalanced,"{""class_weight"": ""balanced"", ""max_depth"": 25, ""max_features"": 0.3, ""min_samples_leaf"": 1, ""n_estimators"": 300}",300,25,1,0.3,balanced,7.738384624999526,0.9999921483769189,0.999991720693123,0.9983611196264768,0.998715301674696,0.9980970722424742,0.9984060912541425,0.9872255187559347,0.9871801943529903,0.9356253537068477,0.9255888650963597,0.9513067400275104,0.9382716049382716
features,depthrank1_depth_d25_leaf1_features0p5_weightnone,"{""class_weight"": null, ""max_depth"": 25, ""max_features"": 0.5, ""min_samples_leaf"": 1, ""n_estimators"": 300}",300,25,1,0.5,,12.936002291000477,0.9999938543184569,0.9999935226959239,0.9987030443087226,0.9986018473950813,0.9988765848178462,0.9987391972124796,0.9872446828526353,0.9871983003918731,0.9361912846632711,0.924759871931697,0.9535075653370014,0.9389137207097386
features,depthrank1_depth_d25_leaf1_features0p5_weightbalanced,"{""class_weight"": ""balanced"", ""max_depth"": 25, ""max_features"": 0.5, ""min_samples_leaf"": 1, ""n_estimators"": 300}",300,25,1,0.5,balanced,13.200023458999567,0.9999926092163065,0.999992204863116,0.9983847006390454,0.9986238532110092,0.998234633285187,0.9984292053154775,0.9871599129059887,0.9871239396425601,0.9360498019241652,0.926942680854869,0.9505731315910133,0.9386091995653749
