rank,config_id,n_estimators,max_depth,min_samples_leaf,max_features,class_weight,fit_seconds,val_pr_auc,val_roc_auc,val_accuracy,val_precision,val_recall,val_f1
1,round2_18,800,25,1,0.3,balanced,21.876063417003024,0.984366,0.985987,0.934645,0.916808,0.951394,0.933781
2,round2_34,1000,25,1,0.3,balanced,30.419542666997586,0.984361,0.985997,0.934444,0.916442,0.951394,0.933591
3,round2_15,400,35,2,0.5,None,18.385776082999655,0.984321,0.986015,0.934846,0.919269,0.948803,0.933803
4,round2_31,800,35,2,0.5,None,42.47119991699947,0.984308,0.986032,0.934595,0.918892,0.948699,0.933558
5,round2_44,1000,35,1,0.5,balanced,49.17883583300136,0.984303,0.986083,0.934796,0.918002,0.950254,0.933849
6,round2_47,1000,35,2,0.5,None,47.75201962499705,0.984292,0.986043,0.934545,0.918716,0.948803,0.933517
7,round2_38,1000,25,2,0.3,balanced,29.101893250001012,0.984273,0.985926,0.933993,0.914957,0.952223,0.933218
8,round2_48,1000,35,2,0.5,balanced,49.09569979200023,0.984263,0.986015,0.934946,0.917441,0.95129,0.934059
9,round2_16,400,35,2,0.5,balanced,18.08080391600015,0.984255,0.985969,0.934394,0.916517,0.951187,0.93353
10,round2_28,800,35,1,0.5,balanced,43.89095620900116,0.984244,0.986084,0.934645,0.917559,0.950461,0.93372
11,round2_32,800,35,2,0.5,balanced,41.23204600000099,0.984231,0.986002,0.934896,0.916933,0.951808,0.934045
12,round2_43,1000,35,1,0.5,None,51.92897162499867,0.984226,0.986038,0.934996,0.920221,0.947974,0.933891
13,round2_22,800,25,2,0.3,balanced,22.87333574999866,0.984226,0.985905,0.933792,0.914593,0.952223,0.933029
14,round2_35,1000,25,1,0.5,None,52.5644663330022,0.984222,0.986083,0.935498,0.920217,0.949114,0.934442
15,round2_07,400,25,2,0.5,None,17.740023250000377,0.984219,0.986025,0.935197,0.919747,0.94901,0.934149
16,round2_08,400,25,2,0.5,balanced,17.64087995799855,0.984207,0.986004,0.935298,0.917666,0.951808,0.934425
17,round2_24,800,25,2,0.5,balanced,40.044445750001614,0.984205,0.986041,0.935398,0.917265,0.952534,0.934567
18,round2_02,400,25,1,0.3,balanced,10.408401708002202,0.984204,0.985958,0.934545,0.917375,0.950461,0.933625
19,round2_19,800,25,1,0.5,None,37.55411895799989,0.984204,0.986075,0.935348,0.920193,0.948803,0.934279
20,round2_40,1000,25,2,0.5,balanced,49.36986362500102,0.984197,0.986038,0.935247,0.917157,0.952327,0.934411
21,round2_36,1000,25,1,0.5,balanced,51.22142691699992,0.984174,0.986064,0.935749,0.917907,0.952534,0.9349
22,round2_45,1000,35,2,0.3,None,26.55701012499776,0.984157,0.985944,0.933792,0.91675,0.949528,0.932851
23,round2_20,800,25,1,0.5,balanced,38.60607704100039,0.984153,0.986047,0.935298,0.917833,0.951601,0.934412
24,round2_04,400,25,1,0.5,balanced,18.308944583000994,0.984137,0.985987,0.935097,0.918218,0.950668,0.934162
25,round2_27,800,35,1,0.5,None,42.559079833001306,0.984131,0.986003,0.934545,0.919726,0.947559,0.933435
26,round2_23,800,25,2,0.5,None,39.286397124997166,0.984125,0.986004,0.934896,0.919193,0.94901,0.933864
27,round2_39,1000,25,2,0.5,None,50.533701457999996,0.98411,0.986008,0.934946,0.919285,0.94901,0.933911
28,round2_29,800,35,2,0.3,None,24.149873249996745,0.98411,0.985914,0.934093,0.917301,0.949528,0.933136
