stage,config_id,params_json,n_estimators,max_depth,min_samples_leaf,max_features,class_weight,fit_seconds,train_pr_auc,train_roc_auc,train_accuracy,train_precision,train_recall,train_f1,val_pr_auc,val_roc_auc,val_accuracy,val_precision,val_recall,val_f1
baseline,default,"{""class_weight"": null, ""max_depth"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 1, ""n_estimators"": 100}",100,,1,sqrt,,1.4764840829993773,1.0,1.0,0.999987,0.999974,1.0,0.999987,0.98246,0.985242,0.931784,0.9145,0.947767,0.930836
depth,depth_dnone_leaf1,"{""class_weight"": null, ""max_depth"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 1, ""n_estimators"": 300}",300,,1,sqrt,,4.043177874998946,1.0,1.0,1.0,1.0,1.0,1.0,0.983339,0.985491,0.932938,0.916692,0.947663,0.93192
depth,depth_dnone_leaf2,"{""class_weight"": null, ""max_depth"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 2, ""n_estimators"": 300}",300,,2,sqrt,,4.206526124999073,0.999857,0.999865,0.991968,0.985221,0.998393,0.991763,0.983805,0.98554,0.932938,0.914531,0.950358,0.9321
depth,depth_dnone_leaf5,"{""class_weight"": null, ""max_depth"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 5, ""n_estimators"": 300}",300,,5,sqrt,,3.707122250001703,0.997144,0.997336,0.971199,0.953929,0.988262,0.970792,0.983346,0.985069,0.931633,0.911347,0.951394,0.93094
depth,depth_d15_leaf1,"{""class_weight"": null, ""max_depth"": 15, ""max_features"": ""sqrt"", ""min_samples_leaf"": 1, ""n_estimators"": 300}",300,15,1,sqrt,,3.6050980829968466,0.994055,0.994289,0.954195,0.935145,0.972897,0.953647,0.98272,0.984632,0.93083,0.906198,0.956161,0.930509
depth,depth_d15_leaf2,"{""class_weight"": null, ""max_depth"": 15, ""max_features"": ""sqrt"", ""min_samples_leaf"": 2, ""n_estimators"": 300}",300,15,2,sqrt,,3.552585833000194,0.99313,0.993431,0.951271,0.930154,0.972404,0.95081,0.982846,0.984605,0.930429,0.905407,0.956265,0.930141
depth,depth_d15_leaf5,"{""class_weight"": null, ""max_depth"": 15, ""max_features"": ""sqrt"", ""min_samples_leaf"": 5, ""n_estimators"": 300}",300,15,5,sqrt,,3.4450811249989783,0.991031,0.991486,0.94423,0.919676,0.969528,0.943944,0.982363,0.98417,0.929525,0.903178,0.957094,0.929355
depth,depth_d25_leaf1,"{""class_weight"": null, ""max_depth"": 25, ""max_features"": ""sqrt"", ""min_samples_leaf"": 1, ""n_estimators"": 300}",300,25,1,sqrt,,3.883238000002166,0.999999,0.999999,0.999473,0.999767,0.999145,0.999456,0.983577,0.985579,0.933189,0.91665,0.948285,0.932199
depth,depth_d25_leaf2,"{""class_weight"": null, ""max_depth"": 25, ""max_features"": ""sqrt"", ""min_samples_leaf"": 2, ""n_estimators"": 300}",300,25,2,sqrt,,3.840828916996543,0.999704,0.999721,0.990111,0.983502,0.996295,0.989857,0.983523,0.985418,0.932487,0.914123,0.949839,0.931639
depth,depth_d25_leaf5,"{""class_weight"": null, ""max_depth"": 25, ""max_features"": ""sqrt"", ""min_samples_leaf"": 5, ""n_estimators"": 300}",300,25,5,sqrt,,3.577533040999697,0.996835,0.997039,0.969706,0.952317,0.986863,0.969282,0.98325,0.985,0.931784,0.910721,0.952534,0.931159
depth,depth_d35_leaf1,"{""class_weight"": null, ""max_depth"": 35, ""max_features"": ""sqrt"", ""min_samples_leaf"": 1, ""n_estimators"": 300}",300,35,1,sqrt,,4.123869917002594,1.0,1.0,1.0,1.0,1.0,1.0,0.983437,0.985553,0.932487,0.916533,0.946834,0.931437
depth,depth_d35_leaf2,"{""class_weight"": null, ""max_depth"": 35, ""max_features"": ""sqrt"", ""min_samples_leaf"": 2, ""n_estimators"": 300}",300,35,2,sqrt,,4.1692123749999155,0.999856,0.999864,0.992157,0.985624,0.998368,0.991955,0.983853,0.985564,0.932687,0.913992,0.950461,0.93187
depth,depth_d35_leaf5,"{""class_weight"": null, ""max_depth"": 35, ""max_features"": ""sqrt"", ""min_samples_leaf"": 5, ""n_estimators"": 300}",300,35,5,sqrt,,4.042421957998158,0.997143,0.997334,0.970986,0.953751,0.988003,0.970575,0.983358,0.985068,0.931884,0.911554,0.951705,0.931197
features,depthrank1_depth_d35_leaf2_featuressqrt_weightnone,"{""class_weight"": null, ""max_depth"": 35, ""max_features"": ""sqrt"", ""min_samples_leaf"": 2, ""n_estimators"": 300}",300,35,2,sqrt,,4.349144207997597,0.999856,0.999864,0.992157,0.985624,0.998368,0.991955,0.983853,0.985564,0.932687,0.913992,0.950461,0.93187
features,depthrank1_depth_d35_leaf2_featuressqrt_weightbalanced,"{""class_weight"": ""balanced"", ""max_depth"": 35, ""max_features"": ""sqrt"", ""min_samples_leaf"": 2, ""n_estimators"": 300}",300,35,2,sqrt,balanced,4.810415749998356,0.999855,0.999863,0.991291,0.983591,0.998679,0.991077,0.983566,0.98547,0.932687,0.911776,0.953259,0.932057
features,depthrank1_depth_d35_leaf2_features0p3_weightnone,"{""class_weight"": null, ""max_depth"": 35, ""max_features"": 0.3, ""min_samples_leaf"": 2, ""n_estimators"": 300}",300,35,2,0.3,,7.600254041997687,0.999932,0.999935,0.994604,0.990187,0.998756,0.994453,0.983698,0.985761,0.933691,0.917988,0.947767,0.93264
features,depthrank1_depth_d35_leaf2_features0p3_weightbalanced,"{""class_weight"": ""balanced"", ""max_depth"": 35, ""max_features"": 0.3, ""min_samples_leaf"": 2, ""n_estimators"": 300}",300,35,2,0.3,balanced,7.576163749999978,0.999932,0.999935,0.994014,0.988792,0.998964,0.993852,0.983857,0.985732,0.933892,0.915023,0.951912,0.933103
