rank,stage,config_id,params_json,n_estimators,learning_rate,max_depth,min_child_weight,subsample,colsample_bytree,reg_lambda,reg_alpha,gamma,scale_pos_weight,best_iteration,best_val_aucpr,fit_seconds,train_pr_auc,train_roc_auc,train_accuracy,train_precision,train_recall,train_f1,val_pr_auc,val_roc_auc,val_accuracy,val_precision,val_recall,val_f1
1,round2,round2_d10_child1_sub1.0_col0.6_lambda1.0_alpha1.0,"{""colsample_bytree"": 0.6, ""early_stopping_rounds"": 50, ""eval_metric"": ""aucpr"", ""gamma"": 0, ""learning_rate"": 0.1, ""max_depth"": 10, ""min_child_weight"": 1, ""n_estimators"": 2000, ""n_jobs"": -1, ""random_state"": 42, ""reg_alpha"": 1.0, ""reg_lambda"": 1.0, ""scale_pos_weight"": 1, ""subsample"": 1.0, ""tree_method"": ""hist""}",2000,0.1,10,1,1.0,0.6,1.0,1.0,0,1,282,0.985937332083788,2.393947208998725,0.999351,0.999404,0.989584,0.984601,0.99404,0.989298,0.985938,0.987283,0.937105,0.925071,0.946834,0.935826
2,round2,round2_d8_child1_sub1.0_col0.6_lambda1.0_alpha1.0,"{""colsample_bytree"": 0.6, ""early_stopping_rounds"": 50, ""eval_metric"": ""aucpr"", ""gamma"": 0, ""learning_rate"": 0.1, ""max_depth"": 8, ""min_child_weight"": 1, ""n_estimators"": 2000, ""n_jobs"": -1, ""random_state"": 42, ""reg_alpha"": 1.0, ""reg_lambda"": 1.0, ""scale_pos_weight"": 1, ""subsample"": 1.0, ""tree_method"": ""hist""}",2000,0.1,8,1,1.0,0.6,1.0,1.0,0,1,575,0.9857492963689789,3.7157662080026057,0.99954,0.999579,0.991818,0.987486,0.995725,0.991588,0.98575,0.987144,0.935147,0.923912,0.943828,0.933764
3,round2,round2_d10_child1_sub1.0_col0.8_lambda5.0_alpha0.0,"{""colsample_bytree"": 0.8, ""early_stopping_rounds"": 50, ""eval_metric"": ""aucpr"", ""gamma"": 0, ""learning_rate"": 0.1, ""max_depth"": 10, ""min_child_weight"": 1, ""n_estimators"": 2000, ""n_jobs"": -1, ""random_state"": 42, ""reg_alpha"": 0.0, ""reg_lambda"": 5.0, ""scale_pos_weight"": 1, ""subsample"": 1.0, ""tree_method"": ""hist""}",2000,0.1,10,1,1.0,0.8,5.0,0.0,0,1,354,0.9857282312415324,2.7527683330008585,0.998733,0.998842,0.984677,0.978883,0.989713,0.984268,0.985729,0.987144,0.935749,0.924435,0.944554,0.934386
4,round2,round2_d8_child1_sub1.0_col0.8_lambda1.0_alpha1.0,"{""colsample_bytree"": 0.8, ""early_stopping_rounds"": 50, ""eval_metric"": ""aucpr"", ""gamma"": 0, ""learning_rate"": 0.1, ""max_depth"": 8, ""min_child_weight"": 1, ""n_estimators"": 2000, ""n_jobs"": -1, ""random_state"": 42, ""reg_alpha"": 1.0, ""reg_lambda"": 1.0, ""scale_pos_weight"": 1, ""subsample"": 1.0, ""tree_method"": ""hist""}",2000,0.1,8,1,1.0,0.8,1.0,1.0,0,1,603,0.9856935506064781,3.9655788330019277,0.999724,0.999746,0.993801,0.990095,0.997176,0.993623,0.985694,0.987073,0.934896,0.923959,0.943207,0.933484
5,round2,round2_d10_child1_sub1.0_col0.8_lambda1.0_alpha1.0,"{""colsample_bytree"": 0.8, ""early_stopping_rounds"": 50, ""eval_metric"": ""aucpr"", ""gamma"": 0, ""learning_rate"": 0.1, ""max_depth"": 10, ""min_child_weight"": 1, ""n_estimators"": 2000, ""n_jobs"": -1, ""random_state"": 42, ""reg_alpha"": 1.0, ""reg_lambda"": 1.0, ""scale_pos_weight"": 1, ""subsample"": 1.0, ""tree_method"": ""hist""}",2000,0.1,10,1,1.0,0.8,1.0,1.0,0,1,417,0.9856895599180282,3.418717958000343,0.999845,0.999857,0.995307,0.992297,0.998057,0.995169,0.98569,0.987103,0.935398,0.924381,0.943828,0.934003
6,round2,round2_d10_child1_sub1.0_col0.6_lambda1.0_alpha0.0,"{""colsample_bytree"": 0.6, ""early_stopping_rounds"": 50, ""eval_metric"": ""aucpr"", ""gamma"": 0, ""learning_rate"": 0.1, ""max_depth"": 10, ""min_child_weight"": 1, ""n_estimators"": 2000, ""n_jobs"": -1, ""random_state"": 42, ""reg_alpha"": 0.0, ""reg_lambda"": 1.0, ""scale_pos_weight"": 1, ""subsample"": 1.0, ""tree_method"": ""hist""}",2000,0.1,10,1,1.0,0.6,1.0,0.0,0,1,358,0.9856745454972021,2.775273458999436,0.999652,0.99968,0.992433,0.988354,0.996113,0.992218,0.985675,0.987132,0.93595,0.923778,0.945797,0.934658
7,round2,round2_d10_child1_sub1.0_col0.8_lambda1.0_alpha0.0,"{""colsample_bytree"": 0.8, ""early_stopping_rounds"": 50, ""eval_metric"": ""aucpr"", ""gamma"": 0, ""learning_rate"": 0.1, ""max_depth"": 10, ""min_child_weight"": 1, ""n_estimators"": 2000, ""n_jobs"": -1, ""random_state"": 42, ""reg_alpha"": 0.0, ""reg_lambda"": 1.0, ""scale_pos_weight"": 1, ""subsample"": 1.0, ""tree_method"": ""hist""}",2000,0.1,10,1,1.0,0.8,1.0,0.0,0,1,288,0.9856617481156817,2.328658958002052,0.999282,0.99934,0.988204,0.982867,0.992952,0.987884,0.985663,0.987185,0.937356,0.92675,0.945383,0.935974
8,round2,round2_d8_child1_sub1.0_col0.6_lambda5.0_alpha0.0,"{""colsample_bytree"": 0.6, ""early_stopping_rounds"": 50, ""eval_metric"": ""aucpr"", ""gamma"": 0, ""learning_rate"": 0.1, ""max_depth"": 8, ""min_child_weight"": 1, ""n_estimators"": 2000, ""n_jobs"": -1, ""random_state"": 42, ""reg_alpha"": 0.0, ""reg_lambda"": 5.0, ""scale_pos_weight"": 1, ""subsample"": 1.0, ""tree_method"": ""hist""}",2000,0.1,8,1,1.0,0.6,5.0,0.0,0,1,775,0.9856273853681451,4.739150500001415,0.999322,0.999383,0.989634,0.98418,0.994585,0.989355,0.985628,0.987085,0.9358,0.925478,0.943414,0.93436
9,round2,round2_d8_child5_sub1.0_col0.6_lambda1.0_alpha0.0,"{""colsample_bytree"": 0.6, ""early_stopping_rounds"": 50, ""eval_metric"": ""aucpr"", ""gamma"": 0, ""learning_rate"": 0.1, ""max_depth"": 8, ""min_child_weight"": 5, ""n_estimators"": 2000, ""n_jobs"": -1, ""random_state"": 42, ""reg_alpha"": 0.0, ""reg_lambda"": 1.0, ""scale_pos_weight"": 1, ""subsample"": 1.0, ""tree_method"": ""hist""}",2000,0.1,8,5,1.0,0.6,1.0,0.0,0,1,482,0.9855989652081009,2.924793459002103,0.997507,0.997724,0.977035,0.968808,0.984272,0.976479,0.9856,0.987023,0.934996,0.924406,0.942896,0.933559
10,round2,round2_d8_child5_sub1.0_col0.6_lambda1.0_alpha1.0,"{""colsample_bytree"": 0.6, ""early_stopping_rounds"": 50, ""eval_metric"": ""aucpr"", ""gamma"": 0, ""learning_rate"": 0.1, ""max_depth"": 8, ""min_child_weight"": 5, ""n_estimators"": 2000, ""n_jobs"": -1, ""random_state"": 42, ""reg_alpha"": 1.0, ""reg_lambda"": 1.0, ""scale_pos_weight"": 1, ""subsample"": 1.0, ""tree_method"": ""hist""}",2000,0.1,8,5,1.0,0.6,1.0,1.0,0,1,542,0.9855412875193325,3.34401125000295,0.998551,0.998684,0.98425,0.977541,0.990231,0.983845,0.985542,0.986875,0.935699,0.924599,0.944243,0.934318
