stage,config_id,params_json,n_estimators,learning_rate,max_depth,min_child_weight,subsample,colsample_bytree,reg_lambda,reg_alpha,gamma,scale_pos_weight,best_iteration,best_val_aucpr,fit_seconds,train_pr_auc,train_roc_auc,train_accuracy,train_precision,train_recall,train_f1,val_pr_auc,val_roc_auc,val_accuracy,val_precision,val_recall,val_f1
baseline,default,"{""colsample_bytree"": 1.0, ""early_stopping_rounds"": null, ""eval_metric"": ""aucpr"", ""gamma"": 0, ""learning_rate"": 0.3, ""max_depth"": 6, ""min_child_weight"": 1, ""n_estimators"": 100, ""n_jobs"": -1, ""random_state"": 42, ""reg_alpha"": 0.0, ""reg_lambda"": 1.0, ""scale_pos_weight"": 1, ""subsample"": 1.0, ""tree_method"": ""hist""}",100,0.3,6,1,1.0,1.0,1.0,0.0,0,1,99,0.9839924726249648,0.520259041000827,0.992804,0.993343,0.954923,0.943961,0.964164,0.953956,0.983993,0.985793,0.932687,0.921042,0.941756,0.931284
structure,structure_d4_child1,"{""colsample_bytree"": 0.8, ""early_stopping_rounds"": 50, ""eval_metric"": ""aucpr"", ""gamma"": 0, ""learning_rate"": 0.1, ""max_depth"": 4, ""min_child_weight"": 1, ""n_estimators"": 2000, ""n_jobs"": -1, ""random_state"": 42, ""reg_alpha"": 0.0, ""reg_lambda"": 1.0, ""scale_pos_weight"": 1, ""subsample"": 0.8, ""tree_method"": ""hist""}",2000,0.1,4,1,0.8,0.8,1.0,0.0,0,1,824,0.9847674482053854,3.525443833997997,0.992841,0.993412,0.955839,0.944357,0.965719,0.954919,0.984768,0.986392,0.935197,0.924006,0.943828,0.933812
structure,structure_d4_child5,"{""colsample_bytree"": 0.8, ""early_stopping_rounds"": 50, ""eval_metric"": ""aucpr"", ""gamma"": 0, ""learning_rate"": 0.1, ""max_depth"": 4, ""min_child_weight"": 5, ""n_estimators"": 2000, ""n_jobs"": -1, ""random_state"": 42, ""reg_alpha"": 0.0, ""reg_lambda"": 1.0, ""scale_pos_weight"": 1, ""subsample"": 0.8, ""tree_method"": ""hist""}",2000,0.1,4,5,0.8,0.8,1.0,0.0,0,1,730,0.9842062420412087,3.1277336249986547,0.991276,0.992023,0.951986,0.940055,0.962221,0.951009,0.984207,0.985973,0.933742,0.920784,0.94445,0.932467
structure,structure_d4_child10,"{""colsample_bytree"": 0.8, ""early_stopping_rounds"": 50, ""eval_metric"": ""aucpr"", ""gamma"": 0, ""learning_rate"": 0.1, ""max_depth"": 4, ""min_child_weight"": 10, ""n_estimators"": 2000, ""n_jobs"": -1, ""random_state"": 42, ""reg_alpha"": 0.0, ""reg_lambda"": 1.0, ""scale_pos_weight"": 1, ""subsample"": 0.8, ""tree_method"": ""hist""}",2000,0.1,4,10,0.8,0.8,1.0,0.0,0,1,730,0.9838840228545679,3.1819070409983397,0.99044,0.991291,0.948761,0.935842,0.960019,0.947776,0.983885,0.985644,0.93334,0.920295,0.944139,0.932065
structure,structure_d6_child1,"{""colsample_bytree"": 0.8, ""early_stopping_rounds"": 50, ""eval_metric"": ""aucpr"", ""gamma"": 0, ""learning_rate"": 0.1, ""max_depth"": 6, ""min_child_weight"": 1, ""n_estimators"": 2000, ""n_jobs"": -1, ""random_state"": 42, ""reg_alpha"": 0.0, ""reg_lambda"": 1.0, ""scale_pos_weight"": 1, ""subsample"": 0.8, ""tree_method"": ""hist""}",2000,0.1,6,1,0.8,0.8,1.0,0.0,0,1,411,0.9847379676360749,2.3074298329993326,0.995879,0.996207,0.967346,0.957168,0.976265,0.966622,0.984739,0.986478,0.935699,0.922883,0.946316,0.934452
structure,structure_d6_child5,"{""colsample_bytree"": 0.8, ""early_stopping_rounds"": 50, ""eval_metric"": ""aucpr"", ""gamma"": 0, ""learning_rate"": 0.1, ""max_depth"": 6, ""min_child_weight"": 5, ""n_estimators"": 2000, ""n_jobs"": -1, ""random_state"": 42, ""reg_alpha"": 0.0, ""reg_lambda"": 1.0, ""scale_pos_weight"": 1, ""subsample"": 0.8, ""tree_method"": ""hist""}",2000,0.1,6,5,0.8,0.8,1.0,0.0,0,1,623,0.9849473030478278,3.373787374999665,0.996595,0.996893,0.972354,0.963307,0.980255,0.971707,0.984948,0.986463,0.934294,0.92378,0.942067,0.932834
structure,structure_d6_child10,"{""colsample_bytree"": 0.8, ""early_stopping_rounds"": 50, ""eval_metric"": ""aucpr"", ""gamma"": 0, ""learning_rate"": 0.1, ""max_depth"": 6, ""min_child_weight"": 10, ""n_estimators"": 2000, ""n_jobs"": -1, ""random_state"": 42, ""reg_alpha"": 0.0, ""reg_lambda"": 1.0, ""scale_pos_weight"": 1, ""subsample"": 0.8, ""tree_method"": ""hist""}",2000,0.1,6,10,0.8,0.8,1.0,0.0,0,1,613,0.9846018922764118,3.272699000001012,0.994942,0.995398,0.964975,0.953902,0.974788,0.964232,0.984603,0.986198,0.934294,0.922664,0.943414,0.932923
structure,structure_d8_child1,"{""colsample_bytree"": 0.8, ""early_stopping_rounds"": 50, ""eval_metric"": ""aucpr"", ""gamma"": 0, ""learning_rate"": 0.1, ""max_depth"": 8, ""min_child_weight"": 1, ""n_estimators"": 2000, ""n_jobs"": -1, ""random_state"": 42, ""reg_alpha"": 0.0, ""reg_lambda"": 1.0, ""scale_pos_weight"": 1, ""subsample"": 0.8, ""tree_method"": ""hist""}",2000,0.1,8,1,0.8,0.8,1.0,0.0,0,1,332,0.9853034356609806,2.409560041000077,0.99862,0.998743,0.984175,0.977513,0.990102,0.983767,0.985304,0.986873,0.936402,0.923676,0.946938,0.935162
structure,structure_d8_child5,"{""colsample_bytree"": 0.8, ""early_stopping_rounds"": 50, ""eval_metric"": ""aucpr"", ""gamma"": 0, ""learning_rate"": 0.1, ""max_depth"": 8, ""min_child_weight"": 5, ""n_estimators"": 2000, ""n_jobs"": -1, ""random_state"": 42, ""reg_alpha"": 0.0, ""reg_lambda"": 1.0, ""scale_pos_weight"": 1, ""subsample"": 0.8, ""tree_method"": ""hist""}",2000,0.1,8,5,0.8,0.8,1.0,0.0,0,1,516,0.9852284016095498,3.31422370799919,0.998604,0.998732,0.984627,0.978096,0.990439,0.984229,0.985229,0.986673,0.935247,0.924444,0.943414,0.933833
structure,structure_d8_child10,"{""colsample_bytree"": 0.8, ""early_stopping_rounds"": 50, ""eval_metric"": ""aucpr"", ""gamma"": 0, ""learning_rate"": 0.1, ""max_depth"": 8, ""min_child_weight"": 10, ""n_estimators"": 2000, ""n_jobs"": -1, ""random_state"": 42, ""reg_alpha"": 0.0, ""reg_lambda"": 1.0, ""scale_pos_weight"": 1, ""subsample"": 0.8, ""tree_method"": ""hist""}",2000,0.1,8,10,0.8,0.8,1.0,0.0,0,1,453,0.9848925679347941,2.9350515419973817,0.996467,0.996793,0.971626,0.962239,0.979867,0.970973,0.984893,0.986373,0.934444,0.922259,0.944243,0.933122
structure,structure_d10_child1,"{""colsample_bytree"": 0.8, ""early_stopping_rounds"": 50, ""eval_metric"": ""aucpr"", ""gamma"": 0, ""learning_rate"": 0.1, ""max_depth"": 10, ""min_child_weight"": 1, ""n_estimators"": 2000, ""n_jobs"": -1, ""random_state"": 42, ""reg_alpha"": 0.0, ""reg_lambda"": 1.0, ""scale_pos_weight"": 1, ""subsample"": 0.8, ""tree_method"": ""hist""}",2000,0.1,10,1,0.8,0.8,1.0,0.0,0,1,236,0.9854263975275003,2.12610479200157,0.999313,0.999373,0.989484,0.983976,0.994481,0.989201,0.985427,0.98696,0.935398,0.921387,0.947456,0.934239
structure,structure_d10_child5,"{""colsample_bytree"": 0.8, ""early_stopping_rounds"": 50, ""eval_metric"": ""aucpr"", ""gamma"": 0, ""learning_rate"": 0.1, ""max_depth"": 10, ""min_child_weight"": 5, ""n_estimators"": 2000, ""n_jobs"": -1, ""random_state"": 42, ""reg_alpha"": 0.0, ""reg_lambda"": 1.0, ""scale_pos_weight"": 1, ""subsample"": 0.8, ""tree_method"": ""hist""}",2000,0.1,10,5,0.8,0.8,1.0,0.0,0,1,269,0.9850818738146698,2.1324968750013795,0.997898,0.998088,0.979469,0.971812,0.986215,0.97896,0.985083,0.986547,0.934545,0.92296,0.943621,0.933176
structure,structure_d10_child10,"{""colsample_bytree"": 0.8, ""early_stopping_rounds"": 50, ""eval_metric"": ""aucpr"", ""gamma"": 0, ""learning_rate"": 0.1, ""max_depth"": 10, ""min_child_weight"": 10, ""n_estimators"": 2000, ""n_jobs"": -1, ""random_state"": 42, ""reg_alpha"": 0.0, ""reg_lambda"": 1.0, ""scale_pos_weight"": 1, ""subsample"": 0.8, ""tree_method"": ""hist""}",2000,0.1,10,10,0.8,0.8,1.0,0.0,0,1,273,0.9845883948067434,2.0930693750015053,0.995932,0.996297,0.96963,0.960627,0.977353,0.968918,0.984589,0.986126,0.93339,0.922522,0.941548,0.931938
sampling,structurerank1_structure_d10_child1_sub0.7_col0.6,"{""colsample_bytree"": 0.6, ""early_stopping_rounds"": 50, ""eval_metric"": ""aucpr"", ""gamma"": 0, ""learning_rate"": 0.1, ""max_depth"": 10, ""min_child_weight"": 1, ""n_estimators"": 2000, ""n_jobs"": -1, ""random_state"": 42, ""reg_alpha"": 0.0, ""reg_lambda"": 1.0, ""scale_pos_weight"": 1, ""subsample"": 0.7, ""tree_method"": ""hist""}",2000,0.1,10,1,0.7,0.6,1.0,0.0,0,1,288,0.9852033786236104,2.6420676250018005,0.999698,0.999723,0.993198,0.988999,0.997046,0.993006,0.985204,0.986652,0.933541,0.921263,0.943414,0.932207
sampling,structurerank1_structure_d10_child1_sub0.7_col0.8,"{""colsample_bytree"": 0.8, ""early_stopping_rounds"": 50, ""eval_metric"": ""aucpr"", ""gamma"": 0, ""learning_rate"": 0.1, ""max_depth"": 10, ""min_child_weight"": 1, ""n_estimators"": 2000, ""n_jobs"": -1, ""random_state"": 42, ""reg_alpha"": 0.0, ""reg_lambda"": 1.0, ""scale_pos_weight"": 1, ""subsample"": 0.7, ""tree_method"": ""hist""}",2000,0.1,10,1,0.7,0.8,1.0,0.0,0,1,275,0.9853968623662193,2.509916125000018,0.999672,0.9997,0.993073,0.988921,0.996865,0.992877,0.985398,0.986858,0.935398,0.923951,0.944347,0.934037
sampling,structurerank1_structure_d10_child1_sub0.7_col1.0,"{""colsample_bytree"": 1.0, ""early_stopping_rounds"": 50, ""eval_metric"": ""aucpr"", ""gamma"": 0, ""learning_rate"": 0.1, ""max_depth"": 10, ""min_child_weight"": 1, ""n_estimators"": 2000, ""n_jobs"": -1, ""random_state"": 42, ""reg_alpha"": 0.0, ""reg_lambda"": 1.0, ""scale_pos_weight"": 1, ""subsample"": 0.7, ""tree_method"": ""hist""}",2000,0.1,10,1,0.7,1.0,1.0,0.0,0,1,249,0.9851931491256518,2.3618869999991148,0.999544,0.999585,0.991241,0.98697,0.995051,0.990994,0.985194,0.986703,0.934846,0.922151,0.945279,0.933572
sampling,structurerank1_structure_d10_child1_sub0.85_col0.6,"{""colsample_bytree"": 0.6, ""early_stopping_rounds"": 50, ""eval_metric"": ""aucpr"", ""gamma"": 0, ""learning_rate"": 0.1, ""max_depth"": 10, ""min_child_weight"": 1, ""n_estimators"": 2000, ""n_jobs"": -1, ""random_state"": 42, ""reg_alpha"": 0.0, ""reg_lambda"": 1.0, ""scale_pos_weight"": 1, ""subsample"": 0.85, ""tree_method"": ""hist""}",2000,0.1,10,1,0.85,0.6,1.0,0.0,0,1,304,0.985533212225168,2.6210039170000528,0.999707,0.999731,0.993223,0.989226,0.996865,0.993031,0.985534,0.986913,0.935298,0.924279,0.943725,0.933901
