feature,importance_mean,importance_std
ackdat,0.05056741812006691,0.00015364943526899907
sbytes,0.04712168058198531,0.0006375293117630677
state,0.03741264686889738,0.00021857352716301664
rate,0.028682723814375866,0.0002781374384806695
ct_dst_sport_ltm,0.02273686086773443,0.00011724073153516209
dbytes,0.02026102374073755,0.0002431618090639986
smean,0.01707946454386,0.00018106942365894406
tcprtt,0.01595697845510937,0.0001869852007224468
dinpkt,0.010974490867781772,0.00010061953940141418
dload,0.010661084328741865,9.346815499958135e-05
swin,0.009388578188753738,0.00014830589708479726
service,0.009008184966423282,9.218144352636673e-05
sloss,0.008686746711002802,0.00013410535845399685
ct_dst_src_ltm,0.007958833600002001,0.0001576228163050906
synack,0.00737245721010551,5.4932368214445834e-05
ct_srv_dst,0.004562821066444433,0.0002487728855336591
ct_srv_src,0.004166427563633679,0.0002216618220448812
sinpkt,0.0036168388838589303,6.901095874438921e-05
dpkts,0.003562230971329239,6.917350973698268e-05
dtcpb,0.0031926582706430784,8.186157024468363e-05
dmean,0.0027892008254631452,0.00012612034823183236
spkts,0.0026172573787680564,8.494996062061867e-05
stcpb,0.0021297873820901093,2.0474525328632246e-05
ct_src_dport_ltm,0.0019260860045678062,4.7939422432827464e-05
dur,0.0014594262831068461,0.00012799128640771473
sload,0.0013232067207166632,0.00014453964846847104
sjit,0.0007383955027827182,5.8555672635932824e-05
proto,0.0007303946173823128,4.6800943619109655e-05
djit,0.0003001102176519721,6.485655589035113e-05
dloss,0.00021968210095943964,4.1379820281728804e-05
response_body_len,6.404161234023764e-05,1.7195961395258055e-05
is_sm_ips_ports,2.4758712531380844e-05,4.03435614946298e-06
is_ftp_login,7.59396198146689e-06,2.9167807556496606e-06
ct_ftp_cmd,6.4359554557968934e-06,3.9901267921746674e-06
dwin,-0.0001521620538954771,2.6009488997117546e-05
trans_depth,-0.0001544128887067453,1.0089814343688504e-05
ct_flw_http_mthd,-0.00021299290349501286,2.920017098205043e-05
ct_src_ltm,-0.00021410456416539602,3.5815225673410326e-05
ct_dst_ltm,-0.0007153569936069859,6.718258157126723e-05
