feature,importance_mean,importance_std
sttl,0.06518456917937591,0.00042142241758190175
ct_dst_sport_ltm,0.007577469759087174,0.00014082627862871972
ct_dst_src_ltm,0.005576641207732247,1.610119686012399e-05
smean,0.004996637998004516,6.551662138957477e-05
ct_state_ttl,0.004774931767433444,0.00012167888365640446
dbytes,0.003922277758109116,0.00010065407736110524
ct_srv_src,0.0038671418881467854,8.904699026154395e-05
sbytes,0.0031070423638584143,5.309418095643644e-05
service,0.00254310438501546,0.00011008384590344097
dmean,0.0016663522683735942,4.7835727814479256e-05
ct_srv_dst,0.0016331584597838677,5.515816934953296e-05
proto,0.0010975450137418851,3.482558119237546e-05
synack,0.0009664845223220197,2.028035297134815e-05
tcprtt,0.000826670183994005,3.016752525350053e-05
sinpkt,0.0007857407231976587,4.189363517150501e-05
dload,0.0006561030017431912,2.814720046291038e-05
response_body_len,0.0005954795457886464,9.750109293573506e-06
dur,0.0004705574459493045,1.6345713418113092e-05
rate,0.0004078982054327218,1.7113430219291348e-05
dloss,0.0003820851619653176,1.0254932332006785e-05
ct_src_dport_ltm,0.00037855254800467364,2.2556539486634045e-05
dttl,0.0003096166978552306,1.4447904443147152e-05
sloss,0.00030740046131745303,7.62252818892304e-06
state,0.0002871590574634375,9.201380420847075e-06
dtcpb,0.00027943677752901853,2.964778912540758e-05
spkts,0.00025358244096092,1.805281576590186e-05
dpkts,0.00019470568910708863,2.7494761899668493e-05
ct_dst_ltm,0.00019085576527910764,5.4942486723159054e-05
ackdat,0.00015597605404944482,1.3854626411637579e-05
stcpb,0.0001416307896408009,6.408798385911592e-06
dinpkt,9.814636056706405e-05,1.8873494291859624e-05
swin,4.9663651100328996e-05,4.6014372294884915e-06
is_ftp_login,3.579113152807345e-06,1.5499353084639737e-06
ct_ftp_cmd,1.8972055505273032e-06,1.4458057469509843e-06
dwin,8.739343508867847e-08,1.885875519534129e-08
is_sm_ips_ports,-3.7511145537960646e-06,5.032303743666042e-06
sload,-2.666431885989251e-05,2.0850814343750207e-05
sjit,-8.863785520745182e-05,2.2397674595085284e-05
trans_depth,-0.00013195293351671024,1.425517921478797e-05
djit,-0.00014499617751346784,1.9085319566069348e-05
ct_flw_http_mthd,-0.00016221759849985862,6.827516057180452e-06
ct_src_ltm,-0.00042491128806640963,3.687451157134716e-05
