feature,importance_mean,importance_std
dload,0.020691690908609516,0.0002071108572440692
ackdat,0.014214166908808746,3.721994823720761e-05
smean,0.007121533957903492,8.437762370867468e-05
ct_dst_sport_ltm,0.005850316106754505,0.00012085559997420422
ct_srv_src,0.005225695022111898,9.1529974589626e-05
ct_dst_src_ltm,0.005014169171314475,3.624723689517645e-05
dmean,0.0034641886199458403,5.914290403467056e-05
dbytes,0.0030034346214349527,7.686414789481358e-05
ct_srv_dst,0.0029289027380688505,6.93706028360509e-05
sbytes,0.0026539799725900926,5.380384452301412e-05
service,0.002451928762366151,0.00014839589674958884
tcprtt,0.002206963337185819,4.709104017060171e-05
synack,0.001730598036471087,5.401179215302923e-05
sinpkt,0.0010386705204712854,2.77488296095369e-05
swin,0.000954497838011914,2.1607515128949213e-05
proto,0.0008899881060384196,3.187946648073394e-05
state,0.0008025856627631667,1.8847965994971606e-05
dloss,0.0007357388992565328,1.9284244933641312e-05
sloss,0.0006664213478570602,2.5452736930845115e-05
ct_src_dport_ltm,0.0006502871561528956,1.4393760135799492e-05
response_body_len,0.0006444107218390504,6.646292485941907e-06
spkts,0.0005953076835884419,1.394440800359196e-05
dtcpb,0.0005078876319276615,4.459879784452851e-05
rate,0.000501642328186902,1.727429656741168e-05
dur,0.0004974305958148406,1.785669855343991e-05
sload,0.0004484508658369801,2.8097419459985028e-05
stcpb,0.0002502888279332316,2.5643723138427267e-05
ct_dst_ltm,0.0001685917468068565,5.2381344468826116e-05
sjit,3.353766408222825e-05,2.796399796108597e-05
dinpkt,2.4590284203207524e-05,1.7557902707877623e-05
is_ftp_login,7.89658951072525e-06,1.2836273239294639e-06
dpkts,2.051446728823514e-06,2.629687543960255e-05
ct_ftp_cmd,1.6876864799009184e-06,5.354963311775613e-07
dwin,0.0,0.0
is_sm_ips_ports,-2.9366145557485626e-07,6.2564641103023e-07
djit,-5.1367971568283546e-05,1.4388757526812563e-05
trans_depth,-9.256184620005658e-05,1.6491144223850905e-05
ct_flw_http_mthd,-0.00019205140068005998,7.05490816539412e-06
ct_src_ltm,-0.00034116113729474316,4.460645258843894e-05
